Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6065313.0
Banco BTG Pactual Chile;Colocaciones (1);872978.0
Banco Consorcio;Colocaciones (1);3197200.0
Banco de Chile;Colocaciones (1);30099012.0
Banco de Crédito e Inversiones;Colocaciones (1);32744315.0
Banco del Estado de Chile;Colocaciones (1);25839574.0
Banco do Brasil S.A.;Colocaciones (1);46109.0
Banco Falabella;Colocaciones (1);3774187.0
Banco Internacional;Colocaciones (1);1982368.0
Banco Ripley;Colocaciones (1);893402.0
Banco Santander-Chile;Colocaciones (1);31905207.0
Banco Security;Colocaciones (1);5822872.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);172592.0
HSBC Bank (Chile);Colocaciones (1);247318.0
Itaú Corpbanca;Colocaciones (1);22594958.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);24444956.0
Banco Bice;Efectivo y depósitos en bancos;319773.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;36243.0
Banco Consorcio;Efectivo y depósitos en bancos;102364.0
Banco de Chile;Efectivo y depósitos en bancos;1650317.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;2416866.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;2406789.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;1522.0
Banco Falabella;Efectivo y depósitos en bancos;118294.0
Banco Internacional;Efectivo y depósitos en bancos;437828.0
Banco Ripley;Efectivo y depósitos en bancos;18581.0
Banco Santander-Chile;Efectivo y depósitos en bancos;2108704.0
Banco Security;Efectivo y depósitos en bancos;437363.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;7158.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;50546.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;137530.0
Itaú Corpbanca;Efectivo y depósitos en bancos;828517.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;136138.0
Scotiabank Chile;Efectivo y depósitos en bancos;1143809.0
Banco Bice;Instrumentos financieros no derivados;1206090.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;136466.0
Banco Consorcio;Instrumentos financieros no derivados;1733181.0
Banco de Chile;Instrumentos financieros no derivados;3115420.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;5617262.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8998644.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;0.0
Banco Falabella;Instrumentos financieros no derivados;655363.0
Banco Internacional;Instrumentos financieros no derivados;142974.0
Banco Ripley;Instrumentos financieros no derivados;122662.0
Banco Santander-Chile;Instrumentos financieros no derivados;3164108.0
Banco Security;Instrumentos financieros no derivados;721851.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;38023.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9404.0
HSBC Bank (Chile);Instrumentos financieros no derivados;438576.0
Itaú Corpbanca;Instrumentos financieros no derivados;2961987.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;244111.0
Scotiabank Chile;Instrumentos financieros no derivados;1141498.0
Banco Bice;Instrumentos financieros derivados;117335.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;69453.0
Banco Consorcio;Instrumentos financieros derivados;58998.0
Banco de Chile;Instrumentos financieros derivados;2544156.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;3995331.0
Banco del Estado de Chile;Instrumentos financieros derivados;1364700.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
