Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6472944.0
Banco BTG Pactual Chile;Colocaciones (1);1140066.0
Banco Consorcio;Colocaciones (1);3732142.0
Banco de Chile;Colocaciones (1);31569760.0
Banco de Crédito e Inversiones;Colocaciones (1);37161868.0
Banco del Estado de Chile;Colocaciones (1);27601028.0
Banco do Brasil S.A.;Colocaciones (1);34736.0
Banco Falabella;Colocaciones (1);3287681.0
Banco Internacional;Colocaciones (1);2234351.0
Banco Ripley;Colocaciones (1);678532.0
Banco Santander-Chile;Colocaciones (1);34880098.0
Banco Security;Colocaciones (1);6311948.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);226902.0
HSBC Bank (Chile);Colocaciones (1);157463.0
Itaú Corpbanca;Colocaciones (1);23532449.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25810767.0
Banco Bice;Efectivo y depósitos en bancos;1074589.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;204206.0
Banco Consorcio;Efectivo y depósitos en bancos;174320.0
Banco de Chile;Efectivo y depósitos en bancos;2134787.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3849105.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;12312525.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;3793.0
Banco Falabella;Efectivo y depósitos en bancos;211897.0
Banco Internacional;Efectivo y depósitos en bancos;196849.0
Banco Ripley;Efectivo y depósitos en bancos;188443.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3210078.0
Banco Security;Efectivo y depósitos en bancos;528468.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;5731.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;46373.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;397771.0
Itaú Corpbanca;Efectivo y depósitos en bancos;3943080.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;1001023.0
Scotiabank Chile;Efectivo y depósitos en bancos;1220367.0
Banco Bice;Instrumentos financieros no derivados;902048.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;192045.0
Banco Consorcio;Instrumentos financieros no derivados;2043697.0
Banco de Chile;Instrumentos financieros no derivados;5287872.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;7861334.0
Banco del Estado de Chile;Instrumentos financieros no derivados;7010484.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;0.0
Banco Falabella;Instrumentos financieros no derivados;1246271.0
Banco Internacional;Instrumentos financieros no derivados;654966.0
Banco Ripley;Instrumentos financieros no derivados;189637.0
Banco Santander-Chile;Instrumentos financieros no derivados;6121757.0
Banco Security;Instrumentos financieros no derivados;1127642.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;26099.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;0.0
HSBC Bank (Chile);Instrumentos financieros no derivados;461638.0
Itaú Corpbanca;Instrumentos financieros no derivados;3027436.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;102266.0
Scotiabank Chile;Instrumentos financieros no derivados;2822738.0
Banco Bice;Instrumentos financieros derivados;114473.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;72603.0
Banco Consorcio;Instrumentos financieros derivados;81472.0
Banco de Chile;Instrumentos financieros derivados;2985428.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;5881527.0
Banco del Estado de Chile;Instrumentos financieros derivados;1733900.0
Banco do Brasil S.A.;Instrumentos financieros derivados;39.0
Banco Falabella;Instrumentos financieros derivados;373519.0
Banco Internacional;Instrumentos financieros derivados;418077.0
Banco Ripley;Instrumentos financieros derivados;11207.0
Banco Santander-Chile;Instrumentos financieros derivados;10404457.0
Banco Security;Instrumentos financieros derivados;228557.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;174.0
HSBC Bank (Chile);Instrumentos financieros derivados;118967.0
Itaú Corpbanca;Instrumentos financieros derivados;4466884.0
