Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6180014.0
Banco BTG Pactual Chile;Colocaciones (1);940138.0
Banco Consorcio;Colocaciones (1);3581567.0
Banco de Chile;Colocaciones (1);30633917.0
Banco de Crédito e Inversiones;Colocaciones (1);35205682.0
Banco del Estado de Chile;Colocaciones (1);26476697.0
Banco do Brasil S.A.;Colocaciones (1);35115.0
Banco Falabella;Colocaciones (1);3933963.0
Banco Internacional;Colocaciones (1);2042624.0
Banco Ripley;Colocaciones (1);885214.0
Banco Santander-Chile;Colocaciones (1);33424546.0
Banco Security;Colocaciones (1);6161258.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);238265.0
HSBC Bank (Chile);Colocaciones (1);237980.0
Itaú Corpbanca;Colocaciones (1);23346698.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25644310.0
Banco Bice;Efectivo y depósitos en bancos;882065.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;120841.0
Banco Consorcio;Efectivo y depósitos en bancos;237379.0
Banco de Chile;Efectivo y depósitos en bancos;2072853.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3253253.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;3824925.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;14370.0
Banco Falabella;Efectivo y depósitos en bancos;153791.0
Banco Internacional;Efectivo y depósitos en bancos;78153.0
Banco Ripley;Efectivo y depósitos en bancos;20148.0
Banco Santander-Chile;Efectivo y depósitos en bancos;2417247.0
Banco Security;Efectivo y depósitos en bancos;503071.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;6802.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;90067.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;184778.0
Itaú Corpbanca;Efectivo y depósitos en bancos;1433775.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;398627.0
Scotiabank Chile;Efectivo y depósitos en bancos;1104975.0
Banco Bice;Instrumentos financieros no derivados;1269680.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;282132.0
Banco Consorcio;Instrumentos financieros no derivados;1649587.0
Banco de Chile;Instrumentos financieros no derivados;3332896.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;6716579.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8756630.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;83673.0
Banco Falabella;Instrumentos financieros no derivados;859657.0
Banco Internacional;Instrumentos financieros no derivados;591752.0
Banco Ripley;Instrumentos financieros no derivados;197191.0
Banco Santander-Chile;Instrumentos financieros no derivados;3437938.0
Banco Security;Instrumentos financieros no derivados;905113.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;32361.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9261.0
HSBC Bank (Chile);Instrumentos financieros no derivados;539789.0
Itaú Corpbanca;Instrumentos financieros no derivados;3904771.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;187615.0
Scotiabank Chile;Instrumentos financieros no derivados;1867706.0
Banco Bice;Instrumentos financieros derivados;154554.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;79031.0
Banco Consorcio;Instrumentos financieros derivados;100513.0
Banco de Chile;Instrumentos financieros derivados;3702320.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;5096470.0
Banco del Estado de Chile;Instrumentos financieros derivados;2001250.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
Banco Falabella;Instrumentos financieros derivados;581026.0
Banco Internacional;Instrumentos financieros derivados;357072.0
Banco Ripley;Instrumentos financieros derivados;16422.0
Banco Santander-Chile;Instrumentos financieros derivados;10920072.0
Banco Security;Instrumentos financieros derivados;342171.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;3588.0
HSBC Bank (Chile);Instrumentos financieros derivados;336560.0
Itaú Corpbanca;Instrumentos financieros derivados;3777727.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;302823.0
Scotiabank Chile;Instrumentos financieros derivados;5707479.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);21886.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);64184.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);191342.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);183984.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);151720.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);18457.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2448.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;50764.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;27833.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;18368.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;427.0
Banco Ripley;Inversiones en sociedades y en sucursales en el exterior;12.0
Banco Santander-Chile;Inversiones en sociedades y en sucursales en el exterior;10467.0
Banco Security;Inversiones en sociedades y en sucursales en el exterior;2095.0
Bank of China, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
China Construction Bank, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
HSBC Bank (Chile);Inversiones en sociedades y en sucursales en el exterior;273.0
Itaú Corpbanca;Inversiones en sociedades y en sucursales en el exterior;15366.0
JP Morgan Chase Bank, N.A.;Inversiones en sociedades y en sucursales en el exterior;1016.0
Scotiabank Chile;Inversiones en sociedades y en sucursales en el exterior;16709.0
Banco Bice;Activo fijo;29153.0
Banco BTG Pactual Chile;Activo fijo;2204.0
Banco Consorcio;Activo fijo;8701.0
Banco de Chile;Activo fijo;220905.0
Banco de Crédito e Inversiones;Activo fijo;257776.0
Banco del Estado de Chile;Activo fijo;347256.0
Banco do Brasil S.A.;Activo fijo;47.0
Banco Falabella;Activo fijo;10047.0
Banco Internacional;Activo fijo;2361.0
Banco Ripley;Activo fijo;2972.0
Banco Santander-Chile;Activo fijo;195411.0
Banco Security;Activo fijo;22156.0
Bank of China, Agencia en Chile;Activo fijo;592.0
China Construction Bank, Agencia en Chile;Activo fijo;134.0
HSBC Bank (Chile);Activo fijo;838.0
Itaú Corpbanca;Activo fijo;57962.0
JP Morgan Chase Bank, N.A.;Activo fijo;1036.0
Scotiabank Chile;Activo fijo;113012.0
Banco Bice;Activo por derecho a usar bienes en arrendamiento ;14272.0
Banco BTG Pactual Chile;Activo por derecho a usar bienes en arrendamiento ;10251.0
Banco Consorcio;Activo por derecho a usar bienes en arrendamiento ;3663.0
Banco de Chile;Activo por derecho a usar bienes en arrendamiento ;149777.0
Banco de Crédito e Inversiones;Activo por derecho a usar bienes en arrendamiento ;233608.0
Banco del Estado de Chile;Activo por derecho a usar bienes en arrendamiento ;96591.0
Banco do Brasil S.A.;Activo por derecho a usar bienes en arrendamiento ;493.0
Banco Falabella;Activo por derecho a usar bienes en arrendamiento ;26884.0
Banco Internacional;Activo por derecho a usar bienes en arrendamiento ;23790.0
Banco Ripley;Activo por derecho a usar bienes en arrendamiento ;19059.0
Banco Santander-Chile;Activo por derecho a usar bienes en arrendamiento ;207278.0
Banco Security;Activo por derecho a usar bienes en arrendamiento ;8081.0
Bank of China, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;606.0
China Construction Bank, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;736.0
HSBC Bank (Chile);Activo por derecho a usar bienes en arrendamiento ;2785.0
Itaú Corpbanca;Activo por derecho a usar bienes en arrendamiento ;204568.0
JP Morgan Chase Bank, N.A.;Activo por derecho a usar bienes en arrendamiento ;3301.0
Scotiabank Chile;Activo por derecho a usar bienes en arrendamiento ;236207.0
Banco Bice;Activos Totales;8768639.0
Banco BTG Pactual Chile;Activos Totales;1633380.0
Banco Consorcio;Activos Totales;5741136.0
Banco de Chile;Activos Totales;41908321.0
Banco de Crédito e Inversiones;Activos Totales;52885858.0
Banco del Estado de Chile;Activos Totales;43292852.0
Banco do Brasil S.A.;Activos Totales;133390.0
Banco Falabella;Activos Totales;5800140.0
Banco Internacional;Activos Totales;3293562.0
Banco Ripley;Activos Totales;1153489.0
Banco Santander-Chile;Activos Totales;52469984.0
Banco Security;Activos Totales;8171821.0
Bank of China, Agencia en Chile;Activos Totales;40882.0
China Construction Bank, Agencia en Chile;Activos Totales;344609.0
HSBC Bank (Chile);Activos Totales;1525123.0
Itaú Corpbanca;Activos Totales;35620712.0
JP Morgan Chase Bank, N.A.;Activos Totales;1264738.0
Scotiabank Chile;Activos Totales;37097340.0
Banco Bice;Créditos contingentes;1576953.0
Banco BTG Pactual Chile;Créditos contingentes;130598.0
Banco Consorcio;Créditos contingentes;100231.0
Banco de Chile;Créditos contingentes;11207166.0
Banco de Crédito e Inversiones;Créditos contingentes;10492382.0
Banco del Estado de Chile;Créditos contingentes;4333981.0
Banco do Brasil S.A.;Créditos contingentes;2419.0
Banco Falabella;Créditos contingentes;3341690.0
Banco Internacional;Créditos contingentes;339129.0
Banco Ripley;Créditos contingentes;1551046.0
Banco Santander-Chile;Créditos contingentes;12143374.0
Banco Security;Créditos contingentes;1221540.0
Bank of China, Agencia en Chile;Créditos contingentes;0.0
China Construction Bank, Agencia en Chile;Créditos contingentes;22021.0
HSBC Bank (Chile);Créditos contingentes;36570.0
Itaú Corpbanca;Créditos contingentes;6056048.0
JP Morgan Chase Bank, N.A.;Créditos contingentes;2000.0
Scotiabank Chile;Créditos contingentes;6827608.0
Banco Bice;Colocaciones de comercio exterior totales;364454.0
Banco BTG Pactual Chile;Colocaciones de comercio exterior totales;0.0
Banco Consorcio;Colocaciones de comercio exterior totales;96404.0
Banco de Chile;Colocaciones de comercio exterior totales;1543446.0
Banco de Crédito e Inversiones;Colocaciones de comercio exterior totales;1212984.0
Banco del Estado de Chile;Colocaciones de comercio exterior totales;1102215.0
Banco do Brasil S.A.;Colocaciones de comercio exterior totales;14631.0
Banco Falabella;Colocaciones de comercio exterior totales;0.0
Banco Internacional;Colocaciones de comercio exterior totales;54018.0
Banco Ripley;Colocaciones de comercio exterior totales;0.0
Banco Santander-Chile;Colocaciones de comercio exterior totales;1872005.0
Banco Security;Colocaciones de comercio exterior totales;218135.0
Bank of China, Agencia en Chile;Colocaciones de comercio exterior totales;0.0
China Construction Bank, Agencia en Chile;Colocaciones de comercio exterior totales;46206.0
HSBC Bank (Chile);Colocaciones de comercio exterior totales;20503.0
Itaú Corpbanca;Colocaciones de comercio exterior totales;1180589.0
JP Morgan Chase Bank, N.A.;Colocaciones de comercio exterior totales;0.0
Scotiabank Chile;Colocaciones de comercio exterior totales;2110284.0
Banco Bice;Operaciones de leasing totales;466658.0
Banco BTG Pactual Chile;Operaciones de leasing totales;0.0
Banco Consorcio;Operaciones de leasing totales;41934.0
Banco de Chile;Operaciones de leasing totales;1633911.0
Banco de Crédito e Inversiones;Operaciones de leasing totales;1652484.0
Banco del Estado de Chile;Operaciones de leasing totales;847275.0
Banco do Brasil S.A.;Operaciones de leasing totales;0.0
Banco Falabella;Operaciones de leasing totales;0.0
Banco Internacional;Operaciones de leasing totales;198414.0
Banco Ripley;Operaciones de leasing totales;0.0
Banco Santander-Chile;Operaciones de leasing totales;1489729.0
Banco Security;Operaciones de leasing totales;364049.0
Bank of China, Agencia en Chile;Operaciones de leasing totales;0.0
China Construction Bank, Agencia en Chile;Operaciones de leasing totales;0.0
HSBC Bank (Chile);Operaciones de leasing totales;0.0
Itaú Corpbanca;Operaciones de leasing totales;1380826.0
JP Morgan Chase Bank, N.A.;Operaciones de leasing totales;0.0
Scotiabank Chile;Operaciones de leasing totales;751703.0
Banco Bice;Operaciones de factoraje;103532.0
Banco BTG Pactual Chile;Operaciones de factoraje;0.0
Banco Consorcio;Operaciones de factoraje;90604.0
Banco de Chile;Operaciones de factoraje;555918.0
Banco de Crédito e Inversiones;Operaciones de factoraje;935708.0
Banco del Estado de Chile;Operaciones de factoraje;452259.0
Banco do Brasil S.A.;Operaciones de factoraje;0.0
Banco Falabella;Operaciones de factoraje;0.0
Banco Internacional;Operaciones de factoraje;25154.0
Banco Ripley;Operaciones de factoraje;0.0
Banco Santander-Chile;Operaciones de factoraje;586316.0
Banco Security;Operaciones de factoraje;0.0
Bank of China, Agencia en Chile;Operaciones de factoraje;0.0
China Construction Bank, Agencia en Chile;Operaciones de factoraje;0.0
HSBC Bank (Chile);Operaciones de factoraje;0.0
Itaú Corpbanca;Operaciones de factoraje;214517.0
JP Morgan Chase Bank, N.A.;Operaciones de factoraje;0.0
Scotiabank Chile;Operaciones de factoraje;251497.0
Banco Bice;Cartera con morosidad de 90 días o más;24079.0
Banco BTG Pactual Chile;Cartera con morosidad de 90 días o más;0.0
Banco Consorcio;Cartera con morosidad de 90 días o más;69861.0
Banco de Chile;Cartera con morosidad de 90 días o más;418712.0
Banco de Crédito e Inversiones;Cartera con morosidad de 90 días o más;482200.0
