Instituciones;Producto;Monto
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;150000.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;1342754.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Total;618235.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;783004.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;12935.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Total;244.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;6300.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Total;110276.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Total;858731.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;530516.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);160000.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);500.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);3.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);181.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);6314.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);17308.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;160000.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;500.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;6314.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;17308.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;181.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país;58.0
