Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6272589.0
Banco BTG Pactual Chile;Colocaciones (1);943921.0
Banco Consorcio;Colocaciones (1);3614383.0
Banco de Chile;Colocaciones (1);30605182.0
Banco de Crédito e Inversiones;Colocaciones (1);35779874.0
Banco del Estado de Chile;Colocaciones (1);26644439.0
Banco do Brasil S.A.;Colocaciones (1);41435.0
Banco Falabella;Colocaciones (1);3923207.0
Banco Internacional;Colocaciones (1);2074845.0
Banco Ripley;Colocaciones (1);877353.0
Banco Santander-Chile;Colocaciones (1);33787663.0
Banco Security;Colocaciones (1);6135286.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);243436.0
HSBC Bank (Chile);Colocaciones (1);273939.0
Itaú Corpbanca;Colocaciones (1);23448686.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25939643.0
Banco Bice;Efectivo y depósitos en bancos;1150557.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;42436.0
Banco Consorcio;Efectivo y depósitos en bancos;153676.0
Banco de Chile;Efectivo y depósitos en bancos;1884523.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;2883053.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;3259660.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;4785.0
Banco Falabella;Efectivo y depósitos en bancos;149038.0
Banco Internacional;Efectivo y depósitos en bancos;58189.0
Banco Ripley;Efectivo y depósitos en bancos;19367.0
Banco Santander-Chile;Efectivo y depósitos en bancos;2134412.0
Banco Security;Efectivo y depósitos en bancos;505947.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;6504.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;70838.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;100285.0
Itaú Corpbanca;Efectivo y depósitos en bancos;1091966.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;388227.0
Scotiabank Chile;Efectivo y depósitos en bancos;774065.0
Banco Bice;Instrumentos financieros no derivados;806915.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;252544.0
Banco Consorcio;Instrumentos financieros no derivados;1597203.0
Banco de Chile;Instrumentos financieros no derivados;3524221.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;7080284.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8568845.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;35857.0
Banco Falabella;Instrumentos financieros no derivados;823887.0
Banco Internacional;Instrumentos financieros no derivados;484522.0
Banco Ripley;Instrumentos financieros no derivados;150355.0
Banco Santander-Chile;Instrumentos financieros no derivados;3605221.0
Banco Security;Instrumentos financieros no derivados;993323.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;32351.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9274.0
HSBC Bank (Chile);Instrumentos financieros no derivados;589340.0
Itaú Corpbanca;Instrumentos financieros no derivados;4397389.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;182324.0
Scotiabank Chile;Instrumentos financieros no derivados;2235476.0
Banco Bice;Instrumentos financieros derivados;176073.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;86443.0
Banco Consorcio;Instrumentos financieros derivados;117361.0
Banco de Chile;Instrumentos financieros derivados;4036717.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;5532181.0
Banco del Estado de Chile;Instrumentos financieros derivados;2355011.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
Banco Falabella;Instrumentos financieros derivados;582206.0
Banco Internacional;Instrumentos financieros derivados;366796.0
Banco Ripley;Instrumentos financieros derivados;17691.0
Banco Santander-Chile;Instrumentos financieros derivados;12430938.0
Banco Security;Instrumentos financieros derivados;380880.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;4386.0
HSBC Bank (Chile);Instrumentos financieros derivados;391912.0
Itaú Corpbanca;Instrumentos financieros derivados;4250511.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;304232.0
Scotiabank Chile;Instrumentos financieros derivados;6218157.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);15721.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);17653.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);16861.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);98089.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);220104.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);228936.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);15015.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);26061.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);101369.0
