Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6396199.0
Banco BTG Pactual Chile;Colocaciones (1);1140527.0
Banco Consorcio;Colocaciones (1);3660790.0
Banco de Chile;Colocaciones (1);31236471.0
Banco de Crédito e Inversiones;Colocaciones (1);37322640.0
Banco del Estado de Chile;Colocaciones (1);27871725.0
Banco do Brasil S.A.;Colocaciones (1);36078.0
Banco Falabella;Colocaciones (1);3341458.0
Banco Internacional;Colocaciones (1);2204109.0
Banco Ripley;Colocaciones (1);706078.0
Banco Santander-Chile;Colocaciones (1);34974868.0
Banco Security;Colocaciones (1);6227884.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);237010.0
HSBC Bank (Chile);Colocaciones (1);169348.0
Itaú Corpbanca;Colocaciones (1);23607957.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25740685.0
Banco Bice;Efectivo y depósitos en bancos;1393113.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;155113.0
Banco Consorcio;Efectivo y depósitos en bancos;347267.0
Banco de Chile;Efectivo y depósitos en bancos;2336159.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3273459.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;10026199.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;1866.0
Banco Falabella;Efectivo y depósitos en bancos;231522.0
Banco Internacional;Efectivo y depósitos en bancos;303636.0
Banco Ripley;Efectivo y depósitos en bancos;157469.0
Banco Santander-Chile;Efectivo y depósitos en bancos;4234571.0
Banco Security;Efectivo y depósitos en bancos;490655.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;6048.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;86604.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;423071.0
Itaú Corpbanca;Efectivo y depósitos en bancos;3571947.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;1060563.0
Scotiabank Chile;Efectivo y depósitos en bancos;1142825.0
Banco Bice;Instrumentos financieros no derivados;1155430.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;258202.0
Banco Consorcio;Instrumentos financieros no derivados;1992237.0
Banco de Chile;Instrumentos financieros no derivados;5199587.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;8581778.0
Banco del Estado de Chile;Instrumentos financieros no derivados;9723363.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;0.0
Banco Falabella;Instrumentos financieros no derivados;1443048.0
Banco Internacional;Instrumentos financieros no derivados;618098.0
Banco Ripley;Instrumentos financieros no derivados;185591.0
Banco Santander-Chile;Instrumentos financieros no derivados;6070322.0
Banco Security;Instrumentos financieros no derivados;1282601.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;29392.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;0.0
HSBC Bank (Chile);Instrumentos financieros no derivados;487327.0
Itaú Corpbanca;Instrumentos financieros no derivados;3764183.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;125258.0
Scotiabank Chile;Instrumentos financieros no derivados;2611269.0
Banco Bice;Instrumentos financieros derivados;119781.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;76529.0
Banco Consorcio;Instrumentos financieros derivados;94031.0
Banco de Chile;Instrumentos financieros derivados;3150927.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6085993.0
Banco del Estado de Chile;Instrumentos financieros derivados;1840867.0
Banco do Brasil S.A.;Instrumentos financieros derivados;146.0
Banco Falabella;Instrumentos financieros derivados;430292.0
Banco Internacional;Instrumentos financieros derivados;441523.0
Banco Ripley;Instrumentos financieros derivados;12007.0
Banco Santander-Chile;Instrumentos financieros derivados;10791946.0
Banco Security;Instrumentos financieros derivados;239005.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;2241.0
HSBC Bank (Chile);Instrumentos financieros derivados;150602.0
Itaú Corpbanca;Instrumentos financieros derivados;4654112.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;298412.0
Scotiabank Chile;Instrumentos financieros derivados;5747704.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);8848.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);9051.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);51454.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);199281.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);101647.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);15115.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);250906.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);103766.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2139.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;49103.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;27728.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;17919.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;339.0
Banco Ripley;Inversiones en sociedades y en sucursales en el exterior;12.0
Banco Santander-Chile;Inversiones en sociedades y en sucursales en el exterior;10226.0
Banco Security;Inversiones en sociedades y en sucursales en el exterior;2095.0
Bank of China, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
China Construction Bank, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
HSBC Bank (Chile);Inversiones en sociedades y en sucursales en el exterior;273.0
Itaú Corpbanca;Inversiones en sociedades y en sucursales en el exterior;14394.0
JP Morgan Chase Bank, N.A.;Inversiones en sociedades y en sucursales en el exterior;1016.0
Scotiabank Chile;Inversiones en sociedades y en sucursales en el exterior;16710.0
Banco Bice;Activo fijo;27503.0
Banco BTG Pactual Chile;Activo fijo;1988.0
Banco Consorcio;Activo fijo;9112.0
Banco de Chile;Activo fijo;219516.0
Banco de Crédito e Inversiones;Activo fijo;248703.0
Banco del Estado de Chile;Activo fijo;348118.0
Banco do Brasil S.A.;Activo fijo;35.0
Banco Falabella;Activo fijo;9598.0
Banco Internacional;Activo fijo;2500.0
Banco Ripley;Activo fijo;2664.0
Banco Santander-Chile;Activo fijo;186399.0
Banco Security;Activo fijo;21556.0
Bank of China, Agencia en Chile;Activo fijo;528.0
China Construction Bank, Agencia en Chile;Activo fijo;78.0
HSBC Bank (Chile);Activo fijo;695.0
Itaú Corpbanca;Activo fijo;52863.0
JP Morgan Chase Bank, N.A.;Activo fijo;1018.0
Scotiabank Chile;Activo fijo;108086.0
Banco Bice;Activo por derecho a usar bienes en arrendamiento ;66539.0
Banco BTG Pactual Chile;Activo por derecho a usar bienes en arrendamiento ;10782.0
Banco Consorcio;Activo por derecho a usar bienes en arrendamiento ;3134.0
Banco de Chile;Activo por derecho a usar bienes en arrendamiento ;132317.0
Banco de Crédito e Inversiones;Activo por derecho a usar bienes en arrendamiento ;220238.0
Banco del Estado de Chile;Activo por derecho a usar bienes en arrendamiento ;98467.0
Banco do Brasil S.A.;Activo por derecho a usar bienes en arrendamiento ;379.0
Banco Falabella;Activo por derecho a usar bienes en arrendamiento ;24522.0
Banco Internacional;Activo por derecho a usar bienes en arrendamiento ;23799.0
Banco Ripley;Activo por derecho a usar bienes en arrendamiento ;17011.0
Banco Santander-Chile;Activo por derecho a usar bienes en arrendamiento ;199642.0
Banco Security;Activo por derecho a usar bienes en arrendamiento ;7739.0
Bank of China, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;465.0
China Construction Bank, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;476.0
HSBC Bank (Chile);Activo por derecho a usar bienes en arrendamiento ;2467.0
Itaú Corpbanca;Activo por derecho a usar bienes en arrendamiento ;185597.0
JP Morgan Chase Bank, N.A.;Activo por derecho a usar bienes en arrendamiento ;2556.0
Scotiabank Chile;Activo por derecho a usar bienes en arrendamiento ;235256.0
Banco Bice;Activos Totales;9338390.0
Banco BTG Pactual Chile;Activos Totales;2009975.0
Banco Consorcio;Activos Totales;6230999.0
Banco de Chile;Activos Totales;45246528.0
Banco de Crédito e Inversiones;Activos Totales;57729469.0
Banco del Estado de Chile;Activos Totales;51471953.0
Banco do Brasil S.A.;Activos Totales;37889.0
Banco Falabella;Activos Totales;5595535.0
Banco Internacional;Activos Totales;3954324.0
Banco Ripley;Activos Totales;1110018.0
Banco Santander-Chile;Activos Totales;58521708.0
Banco Security;Activos Totales;8587675.0
Bank of China, Agencia en Chile;Activos Totales;36913.0
China Construction Bank, Agencia en Chile;Activos Totales;328746.0
HSBC Bank (Chile);Activos Totales;1470903.0
Itaú Corpbanca;Activos Totales;37599460.0
JP Morgan Chase Bank, N.A.;Activos Totales;1584415.0
Scotiabank Chile;Activos Totales;38161606.0
Banco Bice;Créditos contingentes;1316416.0
Banco BTG Pactual Chile;Créditos contingentes;130570.0
Banco Consorcio;Créditos contingentes;120142.0
Banco de Chile;Créditos contingentes;11028348.0
Banco de Crédito e Inversiones;Créditos contingentes;10111698.0
Banco del Estado de Chile;Créditos contingentes;4483810.0
Banco do Brasil S.A.;Créditos contingentes;1107.0
Banco Falabella;Créditos contingentes;3142052.0
Banco Internacional;Créditos contingentes;462257.0
Banco Ripley;Créditos contingentes;1201381.0
Banco Santander-Chile;Créditos contingentes;10764891.0
Banco Security;Créditos contingentes;1184065.0
Bank of China, Agencia en Chile;Créditos contingentes;0.0
China Construction Bank, Agencia en Chile;Créditos contingentes;27635.0
HSBC Bank (Chile);Créditos contingentes;36342.0
Itaú Corpbanca;Créditos contingentes;5596785.0
JP Morgan Chase Bank, N.A.;Créditos contingentes;0.0
Scotiabank Chile;Créditos contingentes;6195718.0
Banco Bice;Colocaciones de comercio exterior totales;323076.0
Banco BTG Pactual Chile;Colocaciones de comercio exterior totales;0.0
Banco Consorcio;Colocaciones de comercio exterior totales;65363.0
Banco de Chile;Colocaciones de comercio exterior totales;1270521.0
Banco de Crédito e Inversiones;Colocaciones de comercio exterior totales;990476.0
Banco del Estado de Chile;Colocaciones de comercio exterior totales;1022913.0
Banco do Brasil S.A.;Colocaciones de comercio exterior totales;8712.0
Banco Falabella;Colocaciones de comercio exterior totales;0.0
Banco Internacional;Colocaciones de comercio exterior totales;42486.0
Banco Ripley;Colocaciones de comercio exterior totales;0.0
Banco Santander-Chile;Colocaciones de comercio exterior totales;1709116.0
Banco Security;Colocaciones de comercio exterior totales;202798.0
Bank of China, Agencia en Chile;Colocaciones de comercio exterior totales;0.0
China Construction Bank, Agencia en Chile;Colocaciones de comercio exterior totales;45933.0
HSBC Bank (Chile);Colocaciones de comercio exterior totales;29229.0
Itaú Corpbanca;Colocaciones de comercio exterior totales;1200706.0
JP Morgan Chase Bank, N.A.;Colocaciones de comercio exterior totales;0.0
Scotiabank Chile;Colocaciones de comercio exterior totales;1533696.0
Banco Bice;Operaciones de leasing totales;457308.0
Banco BTG Pactual Chile;Operaciones de leasing totales;0.0
Banco Consorcio;Operaciones de leasing totales;42410.0
Banco de Chile;Operaciones de leasing totales;1574103.0
Banco de Crédito e Inversiones;Operaciones de leasing totales;1568465.0
Banco del Estado de Chile;Operaciones de leasing totales;819468.0
Banco do Brasil S.A.;Operaciones de leasing totales;0.0
Banco Falabella;Operaciones de leasing totales;0.0
Banco Internacional;Operaciones de leasing totales;187110.0
Banco Ripley;Operaciones de leasing totales;0.0
Banco Santander-Chile;Operaciones de leasing totales;1421836.0
Banco Security;Operaciones de leasing totales;378052.0
Bank of China, Agencia en Chile;Operaciones de leasing totales;0.0
China Construction Bank, Agencia en Chile;Operaciones de leasing totales;0.0
HSBC Bank (Chile);Operaciones de leasing totales;0.0
Itaú Corpbanca;Operaciones de leasing totales;1265659.0
JP Morgan Chase Bank, N.A.;Operaciones de leasing totales;0.0
Scotiabank Chile;Operaciones de leasing totales;720641.0
Banco Bice;Operaciones de factoraje;74718.0
Banco BTG Pactual Chile;Operaciones de factoraje;0.0
Banco Consorcio;Operaciones de factoraje;58919.0
Banco de Chile;Operaciones de factoraje;389535.0
Banco de Crédito e Inversiones;Operaciones de factoraje;685534.0
Banco del Estado de Chile;Operaciones de factoraje;383340.0
Banco do Brasil S.A.;Operaciones de factoraje;0.0
Banco Falabella;Operaciones de factoraje;0.0
Banco Internacional;Operaciones de factoraje;16202.0
Banco Ripley;Operaciones de factoraje;0.0
Banco Santander-Chile;Operaciones de factoraje;400505.0
Banco Security;Operaciones de factoraje;0.0
Bank of China, Agencia en Chile;Operaciones de factoraje;0.0
China Construction Bank, Agencia en Chile;Operaciones de factoraje;0.0
HSBC Bank (Chile);Operaciones de factoraje;0.0
Itaú Corpbanca;Operaciones de factoraje;118225.0
JP Morgan Chase Bank, N.A.;Operaciones de factoraje;0.0
Scotiabank Chile;Operaciones de factoraje;167176.0
Banco Bice;Cartera con morosidad de 90 días o más;41663.0
Banco BTG Pactual Chile;Cartera con morosidad de 90 días o más;0.0
Banco Consorcio;Cartera con morosidad de 90 días o más;57016.0
Banco de Chile;Cartera con morosidad de 90 días o más;328767.0
Banco de Crédito e Inversiones;Cartera con morosidad de 90 días o más;530191.0
Banco del Estado de Chile;Cartera con morosidad de 90 días o más;899267.0
Banco do Brasil S.A.;Cartera con morosidad de 90 días o más;0.0
Banco Falabella;Cartera con morosidad de 90 días o más;145022.0
Banco Internacional;Cartera con morosidad de 90 días o más;44793.0
Banco Ripley;Cartera con morosidad de 90 días o más;49447.0
Banco Santander-Chile;Cartera con morosidad de 90 días o más;588119.0
Banco Security;Cartera con morosidad de 90 días o más;149414.0
Bank of China, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
China Construction Bank, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
HSBC Bank (Chile);Cartera con morosidad de 90 días o más;0.0
Itaú Corpbanca;Cartera con morosidad de 90 días o más;502820.0
JP Morgan Chase Bank, N.A.;Cartera con morosidad de 90 días o más;0.0
Scotiabank Chile;Cartera con morosidad de 90 días o más;436243.0
Banco Bice;Cartera deteriorada;162541.0
Banco BTG Pactual Chile;Cartera deteriorada;28270.0
Banco Consorcio;Cartera deteriorada;180439.0
Banco de Chile;Cartera deteriorada;1293001.0
Banco de Crédito e Inversiones;Cartera deteriorada;1583650.0
Banco del Estado de Chile;Cartera deteriorada;2597471.0
Banco do Brasil S.A.;Cartera deteriorada;1793.0
Banco Falabella;Cartera deteriorada;298282.0
Banco Internacional;Cartera deteriorada;169797.0
Banco Ripley;Cartera deteriorada;114085.0
Banco Santander-Chile;Cartera deteriorada;1858297.0
Banco Security;Cartera deteriorada;391534.0
Bank of China, Agencia en Chile;Cartera deteriorada;0.0
China Construction Bank, Agencia en Chile;Cartera deteriorada;0.0
HSBC Bank (Chile);Cartera deteriorada;9507.0
Itaú Corpbanca;Cartera deteriorada;1540380.0
JP Morgan Chase Bank, N.A.;Cartera deteriorada;0.0
Scotiabank Chile;Cartera deteriorada;1186802.0
