Instituciones;Producto;Monto
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;240000.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;2410953.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Total;346403.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;542849.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;7097.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;10798.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Total;240.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Total;15805.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Total;86840.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;745.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);1428.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);7100.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);4828.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);240.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);15811.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;1428.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;7100.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;15811.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios;0.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;4828.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;240.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior;0.0
