Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6643685.0
Banco BTG Pactual Chile;Colocaciones (1);988326.0
Banco Consorcio;Colocaciones (1);3783585.0
Banco de Chile;Colocaciones (1);31406458.0
Banco de Crédito e Inversiones;Colocaciones (1);37214107.0
Banco del Estado de Chile;Colocaciones (1);27402650.0
Banco do Brasil S.A.;Colocaciones (1);36376.0
Banco Falabella;Colocaciones (1);3854391.0
Banco Internacional;Colocaciones (1);2148273.0
Banco Ripley;Colocaciones (1);858905.0
Banco Santander-Chile;Colocaciones (1);34355159.0
Banco Security;Colocaciones (1);6191897.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);258013.0
HSBC Bank (Chile);Colocaciones (1);306322.0
Itaú Corpbanca;Colocaciones (1);23713729.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);26423871.0
Banco Bice;Efectivo y depósitos en bancos;1505026.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;95211.0
Banco Consorcio;Efectivo y depósitos en bancos;562313.0
Banco de Chile;Efectivo y depósitos en bancos;2780469.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3085935.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;5926574.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;4434.0
Banco Falabella;Efectivo y depósitos en bancos;633515.0
Banco Internacional;Efectivo y depósitos en bancos;101879.0
Banco Ripley;Efectivo y depósitos en bancos;96689.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3755786.0
Banco Security;Efectivo y depósitos en bancos;582438.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;4167.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;53851.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;352427.0
Itaú Corpbanca;Efectivo y depósitos en bancos;1089476.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;433966.0
Scotiabank Chile;Efectivo y depósitos en bancos;1667738.0
Banco Bice;Instrumentos financieros no derivados;758716.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;266117.0
Banco Consorcio;Instrumentos financieros no derivados;1576569.0
Banco de Chile;Instrumentos financieros no derivados;3322792.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;7555672.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8183187.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;98543.0
Banco Falabella;Instrumentos financieros no derivados;841789.0
Banco Internacional;Instrumentos financieros no derivados;415446.0
Banco Ripley;Instrumentos financieros no derivados;132953.0
Banco Santander-Chile;Instrumentos financieros no derivados;3600960.0
Banco Security;Instrumentos financieros no derivados;1030936.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;31362.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9297.0
HSBC Bank (Chile);Instrumentos financieros no derivados;563421.0
Itaú Corpbanca;Instrumentos financieros no derivados;4227888.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;222366.0
Scotiabank Chile;Instrumentos financieros no derivados;2109680.0
Banco Bice;Instrumentos financieros derivados;185444.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;108783.0
Banco Consorcio;Instrumentos financieros derivados;111908.0
Banco de Chile;Instrumentos financieros derivados;4757187.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6654188.0
Banco del Estado de Chile;Instrumentos financieros derivados;2713448.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
Banco Falabella;Instrumentos financieros derivados;663828.0
Banco Internacional;Instrumentos financieros derivados;458654.0
Banco Ripley;Instrumentos financieros derivados;12214.0
Banco Santander-Chile;Instrumentos financieros derivados;14925196.0
Banco Security;Instrumentos financieros derivados;425629.0
