Instituciones;Producto;Monto
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Nacional del Pueblo;Contratos de retrocompra y préstamos de valores (activos);-10.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);86118.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);53308.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2139.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;51273.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;28132.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;18722.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;340.0
Banco Ripley;Inversiones en sociedades y en sucursales en el exterior;12.0
Banco Santander-Chile;Inversiones en sociedades y en sucursales en el exterior;10012.0
Banco Security;Inversiones en sociedades y en sucursales en el exterior;2095.0
Bank of China, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
China Construction Bank, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
HSBC Bank (Chile);Inversiones en sociedades y en sucursales en el exterior;273.0
Banco Nacional del Pueblo;Inversiones en sociedades y en sucursales en el exterior;-10.0
Itaú Corpbanca;Inversiones en sociedades y en sucursales en el exterior;15478.0
JP Morgan Chase Bank, N.A.;Inversiones en sociedades y en sucursales en el exterior;1016.0
Scotiabank Chile;Inversiones en sociedades y en sucursales en el exterior;16709.0
Banco Bice;Activo fijo;27710.0
Banco BTG Pactual Chile;Activo fijo;2064.0
Banco Consorcio;Activo fijo;9310.0
Banco de Chile;Activo fijo;221888.0
Banco de Crédito e Inversiones;Activo fijo;253637.0
Banco del Estado de Chile;Activo fijo;348600.0
Banco do Brasil S.A.;Activo fijo;40.0
Banco Falabella;Activo fijo;9639.0
Banco Internacional;Activo fijo;2521.0
Banco Ripley;Activo fijo;2790.0
Banco Santander-Chile;Activo fijo;189569.0
Banco Security;Activo fijo;21870.0
Bank of China, Agencia en Chile;Activo fijo;542.0
China Construction Bank, Agencia en Chile;Activo fijo;87.0
HSBC Bank (Chile);Activo fijo;699.0
Banco Nacional del Pueblo;Activo fijo;-10.0
Itaú Corpbanca;Activo fijo;54596.0
JP Morgan Chase Bank, N.A.;Activo fijo;1065.0
Scotiabank Chile;Activo fijo;112534.0
Banco Bice;Activo por derecho a usar bienes en arrendamiento ;13370.0
Banco BTG Pactual Chile;Activo por derecho a usar bienes en arrendamiento ;10942.0
Banco Consorcio;Activo por derecho a usar bienes en arrendamiento ;3338.0
Banco de Chile;Activo por derecho a usar bienes en arrendamiento ;136025.0
Banco de Crédito e Inversiones;Activo por derecho a usar bienes en arrendamiento ;231124.0
Banco del Estado de Chile;Activo por derecho a usar bienes en arrendamiento ;98143.0
Banco do Brasil S.A.;Activo por derecho a usar bienes en arrendamiento ;413.0
Banco Falabella;Activo por derecho a usar bienes en arrendamiento ;24991.0
Banco Internacional;Activo por derecho a usar bienes en arrendamiento ;23834.0
Banco Ripley;Activo por derecho a usar bienes en arrendamiento ;17818.0
Banco Santander-Chile;Activo por derecho a usar bienes en arrendamiento ;200890.0
Banco Security;Activo por derecho a usar bienes en arrendamiento ;8023.0
Bank of China, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;508.0
China Construction Bank, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;552.0
HSBC Bank (Chile);Activo por derecho a usar bienes en arrendamiento ;2569.0
Banco Nacional del Pueblo;Activo por derecho a usar bienes en arrendamiento ;-10.0
Itaú Corpbanca;Activo por derecho a usar bienes en arrendamiento ;193978.0
JP Morgan Chase Bank, N.A.;Activo por derecho a usar bienes en arrendamiento ;2850.0
Scotiabank Chile;Activo por derecho a usar bienes en arrendamiento ;237121.0
Banco Bice;Activos Totales;9010450.0
Banco BTG Pactual Chile;Activos Totales;1867024.0
Banco Consorcio;Activos Totales;6437397.0
Banco de Chile;Activos Totales;46142637.0
Banco de Crédito e Inversiones;Activos Totales;60873257.0
Banco del Estado de Chile;Activos Totales;46850314.0
Banco do Brasil S.A.;Activos Totales;42094.0
Banco Falabella;Activos Totales;5750931.0
Banco Internacional;Activos Totales;4023065.0
Banco Ripley;Activos Totales;1098991.0
Banco Santander-Chile;Activos Totales;61026743.0
Banco Security;Activos Totales;8438938.0
Bank of China, Agencia en Chile;Activos Totales;37528.0
China Construction Bank, Agencia en Chile;Activos Totales;307043.0
HSBC Bank (Chile);Activos Totales;1430741.0
Banco Nacional del Pueblo;Activos Totales;-10.0
Itaú Corpbanca;Activos Totales;39011156.0
JP Morgan Chase Bank, N.A.;Activos Totales;1733170.0
Scotiabank Chile;Activos Totales;40732835.0
Banco Bice;Créditos contingentes;1333589.0
Banco BTG Pactual Chile;Créditos contingentes;128927.0
Banco Consorcio;Créditos contingentes;115805.0
Banco de Chile;Créditos contingentes;11152624.0
Banco de Crédito e Inversiones;Créditos contingentes;10738155.0
Banco del Estado de Chile;Créditos contingentes;4456445.0
Banco do Brasil S.A.;Créditos contingentes;1591.0
Banco Falabella;Créditos contingentes;3238896.0
Banco Internacional;Créditos contingentes;506733.0
Banco Ripley;Créditos contingentes;1531686.0
Banco Santander-Chile;Créditos contingentes;11012962.0
Banco Security;Créditos contingentes;1250065.0
Bank of China, Agencia en Chile;Créditos contingentes;0.0
China Construction Bank, Agencia en Chile;Créditos contingentes;23818.0
HSBC Bank (Chile);Créditos contingentes;43477.0
Banco Nacional del Pueblo;Créditos contingentes;-10.0
Itaú Corpbanca;Créditos contingentes;5665562.0
JP Morgan Chase Bank, N.A.;Créditos contingentes;12315.0
Scotiabank Chile;Créditos contingentes;6603370.0
Banco Bice;Colocaciones de comercio exterior totales;379173.0
Banco BTG Pactual Chile;Colocaciones de comercio exterior totales;0.0
Banco Consorcio;Colocaciones de comercio exterior totales;93979.0
Banco de Chile;Colocaciones de comercio exterior totales;1429181.0
Banco de Crédito e Inversiones;Colocaciones de comercio exterior totales;1230376.0
Banco del Estado de Chile;Colocaciones de comercio exterior totales;1271165.0
Banco do Brasil S.A.;Colocaciones de comercio exterior totales;11680.0
Banco Falabella;Colocaciones de comercio exterior totales;0.0
Banco Internacional;Colocaciones de comercio exterior totales;45854.0
Banco Ripley;Colocaciones de comercio exterior totales;0.0
Banco Santander-Chile;Colocaciones de comercio exterior totales;1950794.0
Banco Security;Colocaciones de comercio exterior totales;230032.0
Bank of China, Agencia en Chile;Colocaciones de comercio exterior totales;0.0
China Construction Bank, Agencia en Chile;Colocaciones de comercio exterior totales;50717.0
HSBC Bank (Chile);Colocaciones de comercio exterior totales;18345.0
Banco Nacional del Pueblo;Colocaciones de comercio exterior totales;-10.0
Itaú Corpbanca;Colocaciones de comercio exterior totales;1366568.0
JP Morgan Chase Bank, N.A.;Colocaciones de comercio exterior totales;0.0
Scotiabank Chile;Colocaciones de comercio exterior totales;1769932.0
Banco Bice;Operaciones de leasing totales;462721.0
Banco BTG Pactual Chile;Operaciones de leasing totales;0.0
Banco Consorcio;Operaciones de leasing totales;41347.0
Banco de Chile;Operaciones de leasing totales;1601160.0
Banco de Crédito e Inversiones;Operaciones de leasing totales;1633081.0
Banco del Estado de Chile;Operaciones de leasing totales;818202.0
Banco do Brasil S.A.;Operaciones de leasing totales;0.0
Banco Falabella;Operaciones de leasing totales;0.0
Banco Internacional;Operaciones de leasing totales;190511.0
Banco Ripley;Operaciones de leasing totales;0.0
Banco Santander-Chile;Operaciones de leasing totales;1445652.0
Banco Security;Operaciones de leasing totales;377781.0
Bank of China, Agencia en Chile;Operaciones de leasing totales;0.0
China Construction Bank, Agencia en Chile;Operaciones de leasing totales;0.0
HSBC Bank (Chile);Operaciones de leasing totales;0.0
Banco Nacional del Pueblo;Operaciones de leasing totales;-10.0
Itaú Corpbanca;Operaciones de leasing totales;1319155.0
JP Morgan Chase Bank, N.A.;Operaciones de leasing totales;0.0
Scotiabank Chile;Operaciones de leasing totales;730364.0
Banco Bice;Operaciones de factoraje;83877.0
Banco BTG Pactual Chile;Operaciones de factoraje;0.0
Banco Consorcio;Operaciones de factoraje;68872.0
Banco de Chile;Operaciones de factoraje;440191.0
Banco de Crédito e Inversiones;Operaciones de factoraje;784914.0
Banco del Estado de Chile;Operaciones de factoraje;402415.0
Banco do Brasil S.A.;Operaciones de factoraje;0.0
Banco Falabella;Operaciones de factoraje;0.0
Banco Internacional;Operaciones de factoraje;16869.0
Banco Ripley;Operaciones de factoraje;0.0
Banco Santander-Chile;Operaciones de factoraje;432390.0
Banco Security;Operaciones de factoraje;0.0
Bank of China, Agencia en Chile;Operaciones de factoraje;0.0
China Construction Bank, Agencia en Chile;Operaciones de factoraje;0.0
HSBC Bank (Chile);Operaciones de factoraje;0.0
Banco Nacional del Pueblo;Operaciones de factoraje;-10.0
Itaú Corpbanca;Operaciones de factoraje;149380.0
JP Morgan Chase Bank, N.A.;Operaciones de factoraje;0.0
Scotiabank Chile;Operaciones de factoraje;209610.0
Banco Bice;Cartera con morosidad de 90 días o más;29354.0
Banco BTG Pactual Chile;Cartera con morosidad de 90 días o más;0.0
Banco Consorcio;Cartera con morosidad de 90 días o más;43027.0
Banco de Chile;Cartera con morosidad de 90 días o más;409578.0
Banco de Crédito e Inversiones;Cartera con morosidad de 90 días o más;525191.0
Banco del Estado de Chile;Cartera con morosidad de 90 días o más;1033984.0
Banco do Brasil S.A.;Cartera con morosidad de 90 días o más;0.0
Banco Falabella;Cartera con morosidad de 90 días o más;171525.0
Banco Internacional;Cartera con morosidad de 90 días o más;48448.0
Banco Ripley;Cartera con morosidad de 90 días o más;61749.0
Banco Santander-Chile;Cartera con morosidad de 90 días o más;664754.0
Banco Security;Cartera con morosidad de 90 días o más;116130.0
Bank of China, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
China Construction Bank, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
HSBC Bank (Chile);Cartera con morosidad de 90 días o más;0.0
Banco Nacional del Pueblo;Cartera con morosidad de 90 días o más;-10.0
Itaú Corpbanca;Cartera con morosidad de 90 días o más;579261.0
JP Morgan Chase Bank, N.A.;Cartera con morosidad de 90 días o más;0.0
Scotiabank Chile;Cartera con morosidad de 90 días o más;535314.0
Banco Bice;Cartera deteriorada;163320.0
Banco BTG Pactual Chile;Cartera deteriorada;28806.0
Banco Consorcio;Cartera deteriorada;177454.0
Banco de Chile;Cartera deteriorada;1100508.0
Banco de Crédito e Inversiones;Cartera deteriorada;1586780.0
Banco del Estado de Chile;Cartera deteriorada;2489205.0
Banco do Brasil S.A.;Cartera deteriorada;1786.0
Banco Falabella;Cartera deteriorada;311418.0
Banco Internacional;Cartera deteriorada;161860.0
Banco Ripley;Cartera deteriorada;126951.0
Banco Santander-Chile;Cartera deteriorada;1875052.0
Banco Security;Cartera deteriorada;346507.0
Bank of China, Agencia en Chile;Cartera deteriorada;0.0
China Construction Bank, Agencia en Chile;Cartera deteriorada;0.0
HSBC Bank (Chile);Cartera deteriorada;9973.0
Banco Nacional del Pueblo;Cartera deteriorada;-10.0
Itaú Corpbanca;Cartera deteriorada;1552843.0
JP Morgan Chase Bank, N.A.;Cartera deteriorada;0.0
Scotiabank Chile;Cartera deteriorada;1228093.0
