Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6272862.0
Banco BTG Pactual Chile;Colocaciones (1);877619.0
Banco Consorcio;Colocaciones (1);3399593.0
Banco de Chile;Colocaciones (1);30653712.0
Banco de Crédito e Inversiones;Colocaciones (1);34867021.0
Banco del Estado de Chile;Colocaciones (1);26483827.0
Banco do Brasil S.A.;Colocaciones (1);57036.0
Banco Falabella;Colocaciones (1);3803452.0
Banco Internacional;Colocaciones (1);2020160.0
Banco Ripley;Colocaciones (1);873870.0
Banco Santander-Chile;Colocaciones (1);32982984.0
Banco Security;Colocaciones (1);6038333.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);222111.0
HSBC Bank (Chile);Colocaciones (1);329166.0
Itaú Corpbanca;Colocaciones (1);23630096.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25215057.0
Banco Bice;Efectivo y depósitos en bancos;1311414.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;105453.0
Banco Consorcio;Efectivo y depósitos en bancos;249459.0
Banco de Chile;Efectivo y depósitos en bancos;2031591.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3274155.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;6081170.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;3052.0
Banco Falabella;Efectivo y depósitos en bancos;499223.0
Banco Internacional;Efectivo y depósitos en bancos;237889.0
Banco Ripley;Efectivo y depósitos en bancos;30962.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3243890.0
Banco Security;Efectivo y depósitos en bancos;827909.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;7960.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;42357.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;96123.0
Itaú Corpbanca;Efectivo y depósitos en bancos;1404403.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;387002.0
Scotiabank Chile;Efectivo y depósitos en bancos;1295720.0
Banco Bice;Instrumentos financieros no derivados;666141.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;271749.0
