Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6695090.0
Banco BTG Pactual Chile;Colocaciones (1);1054441.0
Banco Consorcio;Colocaciones (1);3767712.0
Banco de Chile;Colocaciones (1);31331552.0
Banco de Crédito e Inversiones;Colocaciones (1);37890924.0
Banco del Estado de Chile;Colocaciones (1);27523166.0
Banco do Brasil S.A.;Colocaciones (1);36479.0
Banco Falabella;Colocaciones (1);3731203.0
Banco Internacional;Colocaciones (1);2267222.0
Banco Ripley;Colocaciones (1);812912.0
Banco Santander-Chile;Colocaciones (1);34455291.0
Banco Security;Colocaciones (1);6220479.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);281962.0
HSBC Bank (Chile);Colocaciones (1);230957.0
Itaú Corpbanca;Colocaciones (1);23974950.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);26571641.0
Banco Bice;Efectivo y depósitos en bancos;1229131.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;166480.0
Banco Consorcio;Efectivo y depósitos en bancos;451723.0
Banco de Chile;Efectivo y depósitos en bancos;2327191.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;4548211.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;5111100.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;7489.0
Banco Falabella;Efectivo y depósitos en bancos;224716.0
Banco Internacional;Efectivo y depósitos en bancos;231795.0
Banco Ripley;Efectivo y depósitos en bancos;79869.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3120401.0
Banco Security;Efectivo y depósitos en bancos;486012.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;6678.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;48852.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;346254.0
Itaú Corpbanca;Efectivo y depósitos en bancos;2731088.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;1883556.0
Scotiabank Chile;Efectivo y depósitos en bancos;1852298.0
Banco Bice;Instrumentos financieros no derivados;1090001.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;159900.0
Banco Consorcio;Instrumentos financieros no derivados;2032367.0
Banco de Chile;Instrumentos financieros no derivados;5460219.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;8428094.0
Banco del Estado de Chile;Instrumentos financieros no derivados;10006703.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;50100.0
Banco Falabella;Instrumentos financieros no derivados;1504508.0
Banco Internacional;Instrumentos financieros no derivados;461624.0
Banco Ripley;Instrumentos financieros no derivados;185692.0
Banco Santander-Chile;Instrumentos financieros no derivados;5751438.0
Banco Security;Instrumentos financieros no derivados;1207001.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;30887.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;5213.0
HSBC Bank (Chile);Instrumentos financieros no derivados;482550.0
Itaú Corpbanca;Instrumentos financieros no derivados;4395539.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;196895.0
Scotiabank Chile;Instrumentos financieros no derivados;2350802.0
Banco Bice;Instrumentos financieros derivados;156311.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;99374.0
Banco Consorcio;Instrumentos financieros derivados;101950.0
Banco de Chile;Instrumentos financieros derivados;4201372.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6134059.0
Banco del Estado de Chile;Instrumentos financieros derivados;2335946.0
Banco do Brasil S.A.;Instrumentos financieros derivados;28.0
Banco Falabella;Instrumentos financieros derivados;601895.0
Banco Internacional;Instrumentos financieros derivados;433428.0
Banco Ripley;Instrumentos financieros derivados;9604.0
Banco Santander-Chile;Instrumentos financieros derivados;13932399.0
Banco Security;Instrumentos financieros derivados;344119.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;150.0
HSBC Bank (Chile);Instrumentos financieros derivados;277570.0
Itaú Corpbanca;Instrumentos financieros derivados;5074214.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;344581.0
Scotiabank Chile;Instrumentos financieros derivados;6611362.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);5353.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);8414.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);40734.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);194402.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);198366.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);15014.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);103083.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);15760.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2660.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;53614.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;28817.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;19401.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;338.0
Banco Ripley;Inversiones en sociedades y en sucursales en el exterior;12.0
Banco Santander-Chile;Inversiones en sociedades y en sucursales en el exterior;10694.0
Banco Security;Inversiones en sociedades y en sucursales en el exterior;2095.0
Bank of China, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
China Construction Bank, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
HSBC Bank (Chile);Inversiones en sociedades y en sucursales en el exterior;273.0
Itaú Corpbanca;Inversiones en sociedades y en sucursales en el exterior;15973.0
JP Morgan Chase Bank, N.A.;Inversiones en sociedades y en sucursales en el exterior;1016.0
Scotiabank Chile;Inversiones en sociedades y en sucursales en el exterior;16709.0
Banco Bice;Activo fijo;28729.0
Banco BTG Pactual Chile;Activo fijo;1997.0
Banco Consorcio;Activo fijo;9446.0
Banco de Chile;Activo fijo;224309.0
Banco de Crédito e Inversiones;Activo fijo;261655.0
Banco del Estado de Chile;Activo fijo;350471.0
Banco do Brasil S.A.;Activo fijo;43.0
Banco Falabella;Activo fijo;9435.0
Banco Internacional;Activo fijo;2351.0
Banco Ripley;Activo fijo;2933.0
Banco Santander-Chile;Activo fijo;192392.0
Banco Security;Activo fijo;22067.0
Bank of China, Agencia en Chile;Activo fijo;567.0
China Construction Bank, Agencia en Chile;Activo fijo;106.0
HSBC Bank (Chile);Activo fijo;745.0
Itaú Corpbanca;Activo fijo;55425.0
JP Morgan Chase Bank, N.A.;Activo fijo;1138.0
Scotiabank Chile;Activo fijo;117052.0
Banco Bice;Activo por derecho a usar bienes en arrendamiento ;13938.0
Banco BTG Pactual Chile;Activo por derecho a usar bienes en arrendamiento ;11080.0
Banco Consorcio;Activo por derecho a usar bienes en arrendamiento ;3430.0
Banco de Chile;Activo por derecho a usar bienes en arrendamiento ;142865.0
Banco de Crédito e Inversiones;Activo por derecho a usar bienes en arrendamiento ;232273.0
Banco del Estado de Chile;Activo por derecho a usar bienes en arrendamiento ;100361.0
Banco do Brasil S.A.;Activo por derecho a usar bienes en arrendamiento ;447.0
Banco Falabella;Activo por derecho a usar bienes en arrendamiento ;25100.0
Banco Internacional;Activo por derecho a usar bienes en arrendamiento ;24245.0
Banco Ripley;Activo por derecho a usar bienes en arrendamiento ;18399.0
Banco Santander-Chile;Activo por derecho a usar bienes en arrendamiento ;206234.0
Banco Security;Activo por derecho a usar bienes en arrendamiento ;7777.0
Bank of China, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;547.0
China Construction Bank, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;629.0
HSBC Bank (Chile);Activo por derecho a usar bienes en arrendamiento ;2668.0
Itaú Corpbanca;Activo por derecho a usar bienes en arrendamiento ;196851.0
JP Morgan Chase Bank, N.A.;Activo por derecho a usar bienes en arrendamiento ;3048.0
Scotiabank Chile;Activo por derecho a usar bienes en arrendamiento ;235766.0
Banco Bice;Activos Totales;9496172.0
Banco BTG Pactual Chile;Activos Totales;1834892.0
Banco Consorcio;Activos Totales;6510664.0
Banco de Chile;Activos Totales;47509335.0
Banco de Crédito e Inversiones;Activos Totales;60322346.0
Banco del Estado de Chile;Activos Totales;47204771.0
Banco do Brasil S.A.;Activos Totales;93908.0
Banco Falabella;Activos Totales;6174792.0
Banco Internacional;Activos Totales;3697696.0
Banco Ripley;Activos Totales;1127885.0
Banco Santander-Chile;Activos Totales;59711154.0
Banco Security;Activos Totales;8550704.0
Bank of China, Agencia en Chile;Activos Totales;39183.0
China Construction Bank, Agencia en Chile;Activos Totales;339046.0
HSBC Bank (Chile);Activos Totales;1522558.0
Itaú Corpbanca;Activos Totales;38904163.0
JP Morgan Chase Bank, N.A.;Activos Totales;2508283.0
Scotiabank Chile;Activos Totales;40657830.0
Banco Bice;Créditos contingentes;1567067.0
Banco BTG Pactual Chile;Créditos contingentes;137938.0
Banco Consorcio;Créditos contingentes;111862.0
Banco de Chile;Créditos contingentes;11189801.0
Banco de Crédito e Inversiones;Créditos contingentes;10835202.0
Banco del Estado de Chile;Créditos contingentes;4281551.0
Banco do Brasil S.A.;Créditos contingentes;1682.0
Banco Falabella;Créditos contingentes;3172157.0
Banco Internacional;Créditos contingentes;495635.0
Banco Ripley;Créditos contingentes;1515946.0
Banco Santander-Chile;Créditos contingentes;11100986.0
Banco Security;Créditos contingentes;1242769.0
Bank of China, Agencia en Chile;Créditos contingentes;0.0
China Construction Bank, Agencia en Chile;Créditos contingentes;25107.0
HSBC Bank (Chile);Créditos contingentes;40612.0
Itaú Corpbanca;Créditos contingentes;5620676.0
JP Morgan Chase Bank, N.A.;Créditos contingentes;0.0
Scotiabank Chile;Créditos contingentes;6354945.0
Banco Bice;Colocaciones de comercio exterior totales;421830.0
Banco BTG Pactual Chile;Colocaciones de comercio exterior totales;0.0
Banco Consorcio;Colocaciones de comercio exterior totales;96260.0
Banco de Chile;Colocaciones de comercio exterior totales;1795962.0
Banco de Crédito e Inversiones;Colocaciones de comercio exterior totales;1420138.0
Banco del Estado de Chile;Colocaciones de comercio exterior totales;1283655.0
Banco do Brasil S.A.;Colocaciones de comercio exterior totales;12365.0
Banco Falabella;Colocaciones de comercio exterior totales;0.0
Banco Internacional;Colocaciones de comercio exterior totales;54903.0
Banco Ripley;Colocaciones de comercio exterior totales;0.0
Banco Santander-Chile;Colocaciones de comercio exterior totales;2161273.0
Banco Security;Colocaciones de comercio exterior totales;235979.0
Bank of China, Agencia en Chile;Colocaciones de comercio exterior totales;0.0
China Construction Bank, Agencia en Chile;Colocaciones de comercio exterior totales;52683.0
HSBC Bank (Chile);Colocaciones de comercio exterior totales;18542.0
Itaú Corpbanca;Colocaciones de comercio exterior totales;1415484.0
JP Morgan Chase Bank, N.A.;Colocaciones de comercio exterior totales;0.0
Scotiabank Chile;Colocaciones de comercio exterior totales;1991919.0
Banco Bice;Operaciones de leasing totales;472112.0
Banco BTG Pactual Chile;Operaciones de leasing totales;0.0
Banco Consorcio;Operaciones de leasing totales;42285.0
Banco de Chile;Operaciones de leasing totales;1628480.0
Banco de Crédito e Inversiones;Operaciones de leasing totales;1662282.0
Banco del Estado de Chile;Operaciones de leasing totales;836863.0
Banco do Brasil S.A.;Operaciones de leasing totales;0.0
Banco Falabella;Operaciones de leasing totales;0.0
Banco Internacional;Operaciones de leasing totales;192272.0
Banco Ripley;Operaciones de leasing totales;0.0
Banco Santander-Chile;Operaciones de leasing totales;1481322.0
Banco Security;Operaciones de leasing totales;371593.0
Bank of China, Agencia en Chile;Operaciones de leasing totales;0.0
China Construction Bank, Agencia en Chile;Operaciones de leasing totales;0.0
HSBC Bank (Chile);Operaciones de leasing totales;0.0
Itaú Corpbanca;Operaciones de leasing totales;1308089.0
JP Morgan Chase Bank, N.A.;Operaciones de leasing totales;0.0
Scotiabank Chile;Operaciones de leasing totales;741518.0
Banco Bice;Operaciones de factoraje;92566.0
Banco BTG Pactual Chile;Operaciones de factoraje;0.0
Banco Consorcio;Operaciones de factoraje;76171.0
Banco de Chile;Operaciones de factoraje;633068.0
Banco de Crédito e Inversiones;Operaciones de factoraje;899763.0
Banco del Estado de Chile;Operaciones de factoraje;450712.0
Banco do Brasil S.A.;Operaciones de factoraje;0.0
Banco Falabella;Operaciones de factoraje;0.0
Banco Internacional;Operaciones de factoraje;33011.0
Banco Ripley;Operaciones de factoraje;0.0
Banco Santander-Chile;Operaciones de factoraje;528996.0
Banco Security;Operaciones de factoraje;0.0
Bank of China, Agencia en Chile;Operaciones de factoraje;0.0
China Construction Bank, Agencia en Chile;Operaciones de factoraje;0.0
HSBC Bank (Chile);Operaciones de factoraje;0.0
Itaú Corpbanca;Operaciones de factoraje;169804.0
JP Morgan Chase Bank, N.A.;Operaciones de factoraje;0.0
Scotiabank Chile;Operaciones de factoraje;235171.0
Banco Bice;Cartera con morosidad de 90 días o más;26007.0
Banco BTG Pactual Chile;Cartera con morosidad de 90 días o más;0.0
Banco Consorcio;Cartera con morosidad de 90 días o más;81594.0
Banco de Chile;Cartera con morosidad de 90 días o más;455773.0
Banco de Crédito e Inversiones;Cartera con morosidad de 90 días o más;501440.0
Banco del Estado de Chile;Cartera con morosidad de 90 días o más;1006547.0
Banco do Brasil S.A.;Cartera con morosidad de 90 días o más;0.0
Banco Falabella;Cartera con morosidad de 90 días o más;140092.0
Banco Internacional;Cartera con morosidad de 90 días o más;43071.0
Banco Ripley;Cartera con morosidad de 90 días o más;56541.0
Banco Santander-Chile;Cartera con morosidad de 90 días o más;626786.0
Banco Security;Cartera con morosidad de 90 días o más;105811.0
Bank of China, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
China Construction Bank, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
HSBC Bank (Chile);Cartera con morosidad de 90 días o más;0.0
Itaú Corpbanca;Cartera con morosidad de 90 días o más;671461.0
JP Morgan Chase Bank, N.A.;Cartera con morosidad de 90 días o más;0.0
Scotiabank Chile;Cartera con morosidad de 90 días o más;526247.0
Banco Bice;Cartera deteriorada;144608.0
Banco BTG Pactual Chile;Cartera deteriorada;13454.0
Banco Consorcio;Cartera deteriorada;158779.0
Banco de Chile;Cartera deteriorada;990672.0
Banco de Crédito e Inversiones;Cartera deteriorada;1496060.0
Banco del Estado de Chile;Cartera deteriorada;2354656.0
Banco do Brasil S.A.;Cartera deteriorada;2116.0
Banco Falabella;Cartera deteriorada;276803.0
