Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6091514.0
Banco BTG Pactual Chile;Colocaciones (1);828749.0
Banco Consorcio;Colocaciones (1);3222371.0
Banco de Chile;Colocaciones (1);30479328.0
Banco de Crédito e Inversiones;Colocaciones (1);33172635.0
Banco del Estado de Chile;Colocaciones (1);25935440.0
Banco do Brasil S.A.;Colocaciones (1);51179.0
Banco Falabella;Colocaciones (1);3807584.0
Banco Internacional;Colocaciones (1);1944270.0
Banco Ripley;Colocaciones (1);897686.0
Banco Santander-Chile;Colocaciones (1);32221791.0
Banco Security;Colocaciones (1);5891748.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);184861.0
HSBC Bank (Chile);Colocaciones (1);254396.0
Itaú Corpbanca;Colocaciones (1);22832719.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);24506600.0
Banco Bice;Efectivo y depósitos en bancos;558568.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;63025.0
Banco Consorcio;Efectivo y depósitos en bancos;99043.0
Banco de Chile;Efectivo y depósitos en bancos;1657366.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;2528920.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;3141290.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;2949.0
Banco Falabella;Efectivo y depósitos en bancos;121276.0
Banco Internacional;Efectivo y depósitos en bancos;117412.0
Banco Ripley;Efectivo y depósitos en bancos;15704.0
Banco Santander-Chile;Efectivo y depósitos en bancos;2444999.0
Banco Security;Efectivo y depósitos en bancos;558519.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;12922.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;59146.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;202221.0
Itaú Corpbanca;Efectivo y depósitos en bancos;984711.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;240150.0
Scotiabank Chile;Efectivo y depósitos en bancos;768875.0
Banco Bice;Instrumentos financieros no derivados;1115015.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;178489.0
Banco Consorcio;Instrumentos financieros no derivados;1734993.0
Banco de Chile;Instrumentos financieros no derivados;3504743.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;6072130.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8625489.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;20711.0
Banco Falabella;Instrumentos financieros no derivados;676738.0
Banco Internacional;Instrumentos financieros no derivados;398802.0
Banco Ripley;Instrumentos financieros no derivados;140467.0
Banco Santander-Chile;Instrumentos financieros no derivados;3396729.0
Banco Security;Instrumentos financieros no derivados;755658.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;33184.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9333.0
HSBC Bank (Chile);Instrumentos financieros no derivados;428892.0
Itaú Corpbanca;Instrumentos financieros no derivados;3383851.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;217774.0
Scotiabank Chile;Instrumentos financieros no derivados;1692619.0
Banco Bice;Instrumentos financieros derivados;120135.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;76482.0
Banco Consorcio;Instrumentos financieros derivados;65893.0
Banco de Chile;Instrumentos financieros derivados;2646675.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;3981427.0
Banco del Estado de Chile;Instrumentos financieros derivados;1374391.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
Banco Falabella;Instrumentos financieros derivados;377208.0
Banco Internacional;Instrumentos financieros derivados;360327.0
Banco Ripley;Instrumentos financieros derivados;11843.0
Banco Santander-Chile;Instrumentos financieros derivados;7483384.0
Banco Security;Instrumentos financieros derivados;275647.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;1098.0
HSBC Bank (Chile);Instrumentos financieros derivados;219742.0
Itaú Corpbanca;Instrumentos financieros derivados;3091635.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;295952.0
Scotiabank Chile;Instrumentos financieros derivados;4196126.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);11531.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);52245.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);8140.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);77478.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);143472.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);99210.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);126081.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);11753.0
