Instituciones;Producto;Monto
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;170002.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;834714.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Total;483223.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;687325.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;3299.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;5451.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Total;295.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Total;27075.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Total;68844.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;477386.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);3300.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);1.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);295.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);16161.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
