Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6395985.0
Banco BTG Pactual Chile;Colocaciones (1);1135612.0
Banco Consorcio;Colocaciones (1);3660250.0
Banco de Chile;Colocaciones (1);31066089.0
Banco de Crédito e Inversiones;Colocaciones (1);37452059.0
Banco del Estado de Chile;Colocaciones (1);27966885.0
Banco do Brasil S.A.;Colocaciones (1);36447.0
Banco Falabella;Colocaciones (1);3478846.0
Banco Internacional;Colocaciones (1);2184872.0
Banco Ripley;Colocaciones (1);741235.0
Banco Santander-Chile;Colocaciones (1);34918042.0
Banco Security;Colocaciones (1);6183492.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);247080.0
HSBC Bank (Chile);Colocaciones (1);179334.0
Itaú Corpbanca;Colocaciones (1);23556125.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25824560.0
Banco Bice;Efectivo y depósitos en bancos;1575866.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;163352.0
Banco Consorcio;Efectivo y depósitos en bancos;656186.0
Banco de Chile;Efectivo y depósitos en bancos;2156518.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;2994192.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;3379207.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;1672.0
Banco Falabella;Efectivo y depósitos en bancos;165687.0
Banco Internacional;Efectivo y depósitos en bancos;536899.0
Banco Ripley;Efectivo y depósitos en bancos;87579.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3265641.0
Banco Security;Efectivo y depósitos en bancos;408693.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;7909.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;52247.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;562718.0
Itaú Corpbanca;Efectivo y depósitos en bancos;2999457.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;2349028.0
Scotiabank Chile;Efectivo y depósitos en bancos;1231343.0
Banco Bice;Instrumentos financieros no derivados;604506.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;278902.0
Banco Consorcio;Instrumentos financieros no derivados;1603224.0
Banco de Chile;Instrumentos financieros no derivados;4167686.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;8118657.0
Banco del Estado de Chile;Instrumentos financieros no derivados;10917194.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;0.0
Banco Falabella;Instrumentos financieros no derivados;1108364.0
Banco Internacional;Instrumentos financieros no derivados;502792.0
Banco Ripley;Instrumentos financieros no derivados;183720.0
Banco Santander-Chile;Instrumentos financieros no derivados;6630664.0
Banco Security;Instrumentos financieros no derivados;1423202.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;27247.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;0.0
HSBC Bank (Chile);Instrumentos financieros no derivados;455457.0
Itaú Corpbanca;Instrumentos financieros no derivados;4541383.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;177913.0
Scotiabank Chile;Instrumentos financieros no derivados;2810790.0
Banco Bice;Instrumentos financieros derivados;127419.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;94404.0
Banco Consorcio;Instrumentos financieros derivados;115581.0
Banco de Chile;Instrumentos financieros derivados;3264277.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6104711.0
Banco del Estado de Chile;Instrumentos financieros derivados;2001825.0
Banco do Brasil S.A.;Instrumentos financieros derivados;247.0
Banco Falabella;Instrumentos financieros derivados;548087.0
Banco Internacional;Instrumentos financieros derivados;471879.0
Banco Ripley;Instrumentos financieros derivados;10967.0
Banco Santander-Chile;Instrumentos financieros derivados;11312161.0
Banco Security;Instrumentos financieros derivados;265109.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;3118.0
HSBC Bank (Chile);Instrumentos financieros derivados;204733.0
Itaú Corpbanca;Instrumentos financieros derivados;4883504.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;314394.0
Scotiabank Chile;Instrumentos financieros derivados;5966171.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);1883.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);4946.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);10621.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);52281.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);159057.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);109914.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);15084.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);321065.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);87499.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2139.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;50814.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;28090.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;18397.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;331.0
