Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6615248.0
Banco BTG Pactual Chile;Colocaciones (1);1062088.0
Banco Consorcio;Colocaciones (1);3790952.0
Banco de Chile;Colocaciones (1);30884211.0
Banco de Crédito e Inversiones;Colocaciones (1);38687185.0
Banco del Estado de Chile;Colocaciones (1);27673156.0
Banco do Brasil S.A.;Colocaciones (1);40477.0
Banco Falabella;Colocaciones (1);3613722.0
Banco Internacional;Colocaciones (1);2233052.0
Banco Ripley;Colocaciones (1);781248.0
Banco Santander-Chile;Colocaciones (1);35003624.0
Banco Security;Colocaciones (1);6187284.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);277106.0
HSBC Bank (Chile);Colocaciones (1);200891.0
Itaú Corpbanca;Colocaciones (1);24113336.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);26860849.0
Banco Bice;Efectivo y depósitos en bancos;1379699.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;150174.0
Banco Consorcio;Efectivo y depósitos en bancos;604314.0
Banco de Chile;Efectivo y depósitos en bancos;2484100.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3783668.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;5646268.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;5767.0
Banco Falabella;Efectivo y depósitos en bancos;212558.0
Banco Internacional;Efectivo y depósitos en bancos;483674.0
Banco Ripley;Efectivo y depósitos en bancos;62154.0
Banco Santander-Chile;Efectivo y depósitos en bancos;2637334.0
Banco Security;Efectivo y depósitos en bancos;642095.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;9134.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;53713.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;414152.0
Itaú Corpbanca;Efectivo y depósitos en bancos;2128335.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;812651.0
Scotiabank Chile;Efectivo y depósitos en bancos;1854485.0
Banco Bice;Instrumentos financieros no derivados;542555.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;317578.0
Banco Consorcio;Instrumentos financieros no derivados;1729058.0
Banco de Chile;Instrumentos financieros no derivados;7182795.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;9280299.0
Banco del Estado de Chile;Instrumentos financieros no derivados;9058626.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;32443.0
Banco Falabella;Instrumentos financieros no derivados;1292824.0
Banco Internacional;Instrumentos financieros no derivados;419602.0
Banco Ripley;Instrumentos financieros no derivados;232415.0
Banco Santander-Chile;Instrumentos financieros no derivados;7794594.0
Banco Security;Instrumentos financieros no derivados;1283647.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;28410.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;5215.0
HSBC Bank (Chile);Instrumentos financieros no derivados;488275.0
Itaú Corpbanca;Instrumentos financieros no derivados;5379722.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;177377.0
Scotiabank Chile;Instrumentos financieros no derivados;2846484.0
Banco Bice;Instrumentos financieros derivados;143594.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;103321.0
Banco Consorcio;Instrumentos financieros derivados;98557.0
Banco de Chile;Instrumentos financieros derivados;3877659.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6224723.0
Banco del Estado de Chile;Instrumentos financieros derivados;2132023.0
Banco do Brasil S.A.;Instrumentos financieros derivados;88.0
Banco Falabella;Instrumentos financieros derivados;563479.0
Banco Internacional;Instrumentos financieros derivados;471436.0
Banco Ripley;Instrumentos financieros derivados;10762.0
Banco Santander-Chile;Instrumentos financieros derivados;12850796.0
Banco Security;Instrumentos financieros derivados;303751.0
Bank of China, Agencia en Chile;Instrumentos financieros derivados;0.0
China Construction Bank, Agencia en Chile;Instrumentos financieros derivados;383.0
HSBC Bank (Chile);Instrumentos financieros derivados;204686.0
Itaú Corpbanca;Instrumentos financieros derivados;5229910.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros derivados;340486.0
Scotiabank Chile;Instrumentos financieros derivados;6397472.0
Banco Bice;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco BTG Pactual Chile;Contratos de retrocompra y préstamos de valores (activos);4739.0
Banco Consorcio;Contratos de retrocompra y préstamos de valores (activos);2370.0
Banco de Chile;Contratos de retrocompra y préstamos de valores (activos);40964.0
Banco de Crédito e Inversiones;Contratos de retrocompra y préstamos de valores (activos);184736.0
Banco del Estado de Chile;Contratos de retrocompra y préstamos de valores (activos);104691.0
Banco do Brasil S.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Falabella;Contratos de retrocompra y préstamos de valores (activos);15023.0
Banco Internacional;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Ripley;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Santander-Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
Banco Security;Contratos de retrocompra y préstamos de valores (activos);0.0
Bank of China, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
China Construction Bank, Agencia en Chile;Contratos de retrocompra y préstamos de valores (activos);0.0
HSBC Bank (Chile);Contratos de retrocompra y préstamos de valores (activos);0.0
Itaú Corpbanca;Contratos de retrocompra y préstamos de valores (activos);127577.0
JP Morgan Chase Bank, N.A.;Contratos de retrocompra y préstamos de valores (activos);0.0
Scotiabank Chile;Contratos de retrocompra y préstamos de valores (activos);22900.0
Banco Bice;Inversiones en sociedades y en sucursales en el exterior;484.0
Banco BTG Pactual Chile;Inversiones en sociedades y en sucursales en el exterior;135.0
Banco Consorcio;Inversiones en sociedades y en sucursales en el exterior;2660.0
Banco de Chile;Inversiones en sociedades y en sucursales en el exterior;52108.0
Banco de Crédito e Inversiones;Inversiones en sociedades y en sucursales en el exterior;28698.0
Banco del Estado de Chile;Inversiones en sociedades y en sucursales en el exterior;18891.0
Banco do Brasil S.A.;Inversiones en sociedades y en sucursales en el exterior;0.0
Banco Falabella;Inversiones en sociedades y en sucursales en el exterior;313.0
Banco Internacional;Inversiones en sociedades y en sucursales en el exterior;337.0
Banco Ripley;Inversiones en sociedades y en sucursales en el exterior;12.0
Banco Santander-Chile;Inversiones en sociedades y en sucursales en el exterior;10760.0
Banco Security;Inversiones en sociedades y en sucursales en el exterior;2095.0
Bank of China, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
China Construction Bank, Agencia en Chile;Inversiones en sociedades y en sucursales en el exterior;0.0
HSBC Bank (Chile);Inversiones en sociedades y en sucursales en el exterior;273.0
Itaú Corpbanca;Inversiones en sociedades y en sucursales en el exterior;15680.0
JP Morgan Chase Bank, N.A.;Inversiones en sociedades y en sucursales en el exterior;1016.0
Scotiabank Chile;Inversiones en sociedades y en sucursales en el exterior;16709.0
Banco Bice;Activo fijo;28042.0
Banco BTG Pactual Chile;Activo fijo;1955.0
Banco Consorcio;Activo fijo;9334.0
Banco de Chile;Activo fijo;223675.0
Banco de Crédito e Inversiones;Activo fijo;260071.0
Banco del Estado de Chile;Activo fijo;348821.0
Banco do Brasil S.A.;Activo fijo;40.0
Banco Falabella;Activo fijo;9233.0
Banco Internacional;Activo fijo;2339.0
Banco Ripley;Activo fijo;2860.0
Banco Santander-Chile;Activo fijo;191175.0
Banco Security;Activo fijo;21995.0
Bank of China, Agencia en Chile;Activo fijo;553.0
China Construction Bank, Agencia en Chile;Activo fijo;96.0
HSBC Bank (Chile);Activo fijo;705.0
Itaú Corpbanca;Activo fijo;54694.0
JP Morgan Chase Bank, N.A.;Activo fijo;1079.0
Scotiabank Chile;Activo fijo;116847.0
Banco Bice;Activo por derecho a usar bienes en arrendamiento ;13698.0
Banco BTG Pactual Chile;Activo por derecho a usar bienes en arrendamiento ;11026.0
Banco Consorcio;Activo por derecho a usar bienes en arrendamiento ;3416.0
Banco de Chile;Activo por derecho a usar bienes en arrendamiento ;140265.0
Banco de Crédito e Inversiones;Activo por derecho a usar bienes en arrendamiento ;227893.0
Banco del Estado de Chile;Activo por derecho a usar bienes en arrendamiento ;99352.0
Banco do Brasil S.A.;Activo por derecho a usar bienes en arrendamiento ;431.0
Banco Falabella;Activo por derecho a usar bienes en arrendamiento ;24472.0
Banco Internacional;Activo por derecho a usar bienes en arrendamiento ;24054.0
Banco Ripley;Activo por derecho a usar bienes en arrendamiento ;18123.0
Banco Santander-Chile;Activo por derecho a usar bienes en arrendamiento ;204144.0
Banco Security;Activo por derecho a usar bienes en arrendamiento ;7649.0
Bank of China, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;529.0
China Construction Bank, Agencia en Chile;Activo por derecho a usar bienes en arrendamiento ;591.0
HSBC Bank (Chile);Activo por derecho a usar bienes en arrendamiento ;2622.0
Itaú Corpbanca;Activo por derecho a usar bienes en arrendamiento ;196045.0
JP Morgan Chase Bank, N.A.;Activo por derecho a usar bienes en arrendamiento ;2951.0
Scotiabank Chile;Activo por derecho a usar bienes en arrendamiento ;234402.0
Banco Bice;Activos Totales;8988282.0
Banco BTG Pactual Chile;Activos Totales;2173404.0
Banco Consorcio;Activos Totales;6386485.0
Banco de Chile;Activos Totales;46906896.0
Banco de Crédito e Inversiones;Activos Totales;61217330.0
Banco del Estado de Chile;Activos Totales;46448788.0
Banco do Brasil S.A.;Activos Totales;78477.0
Banco Falabella;Activos Totales;5784418.0
Banco Internacional;Activos Totales;3896140.0
Banco Ripley;Activos Totales;1124312.0
Banco Santander-Chile;Activos Totales;61672359.0
Banco Security;Activos Totales;8687524.0
Bank of China, Agencia en Chile;Activos Totales;39116.0
China Construction Bank, Agencia en Chile;Activos Totales;339506.0
HSBC Bank (Chile);Activos Totales;1961258.0
Itaú Corpbanca;Activos Totales;39707764.0
JP Morgan Chase Bank, N.A.;Activos Totales;1661129.0
Scotiabank Chile;Activos Totales;41367251.0
Banco Bice;Créditos contingentes;1529593.0
Banco BTG Pactual Chile;Créditos contingentes;126694.0
Banco Consorcio;Créditos contingentes;119893.0
Banco de Chile;Créditos contingentes;11137863.0
Banco de Crédito e Inversiones;Créditos contingentes;10706956.0
Banco del Estado de Chile;Créditos contingentes;4474781.0
Banco do Brasil S.A.;Créditos contingentes;1467.0
Banco Falabella;Créditos contingentes;3207860.0
Banco Internacional;Créditos contingentes;503571.0
Banco Ripley;Créditos contingentes;1544805.0
Banco Santander-Chile;Créditos contingentes;11133860.0
Banco Security;Créditos contingentes;1246557.0
Bank of China, Agencia en Chile;Créditos contingentes;0.0
China Construction Bank, Agencia en Chile;Créditos contingentes;24023.0
HSBC Bank (Chile);Créditos contingentes;35704.0
Itaú Corpbanca;Créditos contingentes;5597503.0
JP Morgan Chase Bank, N.A.;Créditos contingentes;12116.0
Scotiabank Chile;Créditos contingentes;6599504.0
Banco Bice;Colocaciones de comercio exterior totales;392719.0
Banco BTG Pactual Chile;Colocaciones de comercio exterior totales;0.0
Banco Consorcio;Colocaciones de comercio exterior totales;91301.0
Banco de Chile;Colocaciones de comercio exterior totales;1649718.0
Banco de Crédito e Inversiones;Colocaciones de comercio exterior totales;1332581.0
Banco del Estado de Chile;Colocaciones de comercio exterior totales;1209671.0
Banco do Brasil S.A.;Colocaciones de comercio exterior totales;11878.0
Banco Falabella;Colocaciones de comercio exterior totales;0.0
Banco Internacional;Colocaciones de comercio exterior totales;48511.0
Banco Ripley;Colocaciones de comercio exterior totales;0.0
Banco Santander-Chile;Colocaciones de comercio exterior totales;2034955.0
Banco Security;Colocaciones de comercio exterior totales;224181.0
Bank of China, Agencia en Chile;Colocaciones de comercio exterior totales;0.0
China Construction Bank, Agencia en Chile;Colocaciones de comercio exterior totales;51805.0
HSBC Bank (Chile);Colocaciones de comercio exterior totales;17973.0
Itaú Corpbanca;Colocaciones de comercio exterior totales;1362740.0
JP Morgan Chase Bank, N.A.;Colocaciones de comercio exterior totales;0.0
Scotiabank Chile;Colocaciones de comercio exterior totales;1875545.0
Banco Bice;Operaciones de leasing totales;466184.0
Banco BTG Pactual Chile;Operaciones de leasing totales;0.0
Banco Consorcio;Operaciones de leasing totales;42229.0
Banco de Chile;Operaciones de leasing totales;1601876.0
Banco de Crédito e Inversiones;Operaciones de leasing totales;1629951.0
Banco del Estado de Chile;Operaciones de leasing totales;820607.0
Banco do Brasil S.A.;Operaciones de leasing totales;0.0
Banco Falabella;Operaciones de leasing totales;0.0
Banco Internacional;Operaciones de leasing totales;189937.0
Banco Ripley;Operaciones de leasing totales;0.0
Banco Santander-Chile;Operaciones de leasing totales;1471471.0
Banco Security;Operaciones de leasing totales;370147.0
Bank of China, Agencia en Chile;Operaciones de leasing totales;0.0
China Construction Bank, Agencia en Chile;Operaciones de leasing totales;0.0
HSBC Bank (Chile);Operaciones de leasing totales;0.0
Itaú Corpbanca;Operaciones de leasing totales;1316566.0
JP Morgan Chase Bank, N.A.;Operaciones de leasing totales;0.0
Scotiabank Chile;Operaciones de leasing totales;737795.0
Banco Bice;Operaciones de factoraje;87816.0
Banco BTG Pactual Chile;Operaciones de factoraje;0.0
Banco Consorcio;Operaciones de factoraje;74599.0
Banco de Chile;Operaciones de factoraje;484081.0
Banco de Crédito e Inversiones;Operaciones de factoraje;817749.0
Banco del Estado de Chile;Operaciones de factoraje;426689.0
Banco do Brasil S.A.;Operaciones de factoraje;0.0
Banco Falabella;Operaciones de factoraje;0.0
Banco Internacional;Operaciones de factoraje;24220.0
Banco Ripley;Operaciones de factoraje;0.0
Banco Santander-Chile;Operaciones de factoraje;474168.0
Banco Security;Operaciones de factoraje;0.0
Bank of China, Agencia en Chile;Operaciones de factoraje;0.0
China Construction Bank, Agencia en Chile;Operaciones de factoraje;0.0
HSBC Bank (Chile);Operaciones de factoraje;0.0
Itaú Corpbanca;Operaciones de factoraje;152592.0
JP Morgan Chase Bank, N.A.;Operaciones de factoraje;0.0
Scotiabank Chile;Operaciones de factoraje;223440.0
Banco Bice;Cartera con morosidad de 90 días o más;26592.0
Banco BTG Pactual Chile;Cartera con morosidad de 90 días o más;0.0
Banco Consorcio;Cartera con morosidad de 90 días o más;81737.0
Banco de Chile;Cartera con morosidad de 90 días o más;449322.0
Banco de Crédito e Inversiones;Cartera con morosidad de 90 días o más;525812.0
Banco del Estado de Chile;Cartera con morosidad de 90 días o más;1031916.0
Banco do Brasil S.A.;Cartera con morosidad de 90 días o más;0.0
Banco Falabella;Cartera con morosidad de 90 días o más;150597.0
Banco Internacional;Cartera con morosidad de 90 días o más;47207.0
Banco Ripley;Cartera con morosidad de 90 días o más;56671.0
Banco Santander-Chile;Cartera con morosidad de 90 días o más;625312.0
Banco Security;Cartera con morosidad de 90 días o más;116016.0
Bank of China, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
China Construction Bank, Agencia en Chile;Cartera con morosidad de 90 días o más;0.0
HSBC Bank (Chile);Cartera con morosidad de 90 días o más;0.0
Itaú Corpbanca;Cartera con morosidad de 90 días o más;676421.0
JP Morgan Chase Bank, N.A.;Cartera con morosidad de 90 días o más;0.0
Scotiabank Chile;Cartera con morosidad de 90 días o más;509889.0
Banco Bice;Cartera deteriorada;144202.0
