Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6228650.0
Banco BTG Pactual Chile;Colocaciones (1);904445.0
Banco Consorcio;Colocaciones (1);3473357.0
Banco de Chile;Colocaciones (1);30529608.0
Banco de Crédito e Inversiones;Colocaciones (1);34338923.0
Banco del Estado de Chile;Colocaciones (1);26273621.0
Banco do Brasil S.A.;Colocaciones (1);51145.0
Banco Falabella;Colocaciones (1);3911440.0
Banco Internacional;Colocaciones (1);2014029.0
Banco Ripley;Colocaciones (1);88894316.0
Banco Santander-Chile;Colocaciones (1);32731735.0
Banco Security;Colocaciones (1);6051817.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);224150.0
HSBC Bank (Chile);Colocaciones (1);221121.0
Itaú Corpbanca;Colocaciones (1);23255995.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);25349436.0
Banco Bice;Efectivo y depósitos en bancos;581742.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;52784.0
Banco Consorcio;Efectivo y depósitos en bancos;208686.0
Banco de Chile;Efectivo y depósitos en bancos;2392166.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;3153760.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;3972444.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;3910.0
Banco Falabella;Efectivo y depósitos en bancos;180756.0
Banco Internacional;Efectivo y depósitos en bancos;239458.0
Banco Ripley;Efectivo y depósitos en bancos;20015.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3554520.0
Banco Security;Efectivo y depósitos en bancos;693082.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;8931.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;32417.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;184328.0
Itaú Corpbanca;Efectivo y depósitos en bancos;1009681.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;338447.0
Scotiabank Chile;Efectivo y depósitos en bancos;1384762.0
Banco Bice;Instrumentos financieros no derivados;1417929.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;292036.0
Banco Consorcio;Instrumentos financieros no derivados;1794079.0
Banco de Chile;Instrumentos financieros no derivados;3230201.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;6230655.0
Banco del Estado de Chile;Instrumentos financieros no derivados;9340994.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;97165.0
Banco Falabella;Instrumentos financieros no derivados;739838.0
Banco Internacional;Instrumentos financieros no derivados;467427.0
Banco Ripley;Instrumentos financieros no derivados;171972.0
Banco Santander-Chile;Instrumentos financieros no derivados;4280476.0
Banco Security;Instrumentos financieros no derivados;880357.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;31051.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;9246.0
HSBC Bank (Chile);Instrumentos financieros no derivados;501635.0
Itaú Corpbanca;Instrumentos financieros no derivados;3890288.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;188543.0
Scotiabank Chile;Instrumentos financieros no derivados;1654381.0
Banco Bice;Instrumentos financieros derivados;121655.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;80069.0
Banco Consorcio;Instrumentos financieros derivados;91376.0
Banco de Chile;Instrumentos financieros derivados;2786215.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;4261289.0
Banco del Estado de Chile;Instrumentos financieros derivados;1477626.0
Banco do Brasil S.A.;Instrumentos financieros derivados;0.0
Banco Falabella;Instrumentos financieros derivados;411178.0
Banco Internacional;Instrumentos financieros derivados;334834.0
Banco Ripley;Instrumentos financieros derivados;15287.0
