tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco do Brasil S.A.,Cartera deteriorada,2161.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,18ab4617a2e3a9068ff54c77f283b2913b3b75245338d54c737d28f534fb2c28,2019-09-01
Banco Falabella,Cartera deteriorada,238296.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,aa74611de02e6d3fdf6726d114c762288adad9e34d04f75e94b3381d2eb60904,2019-09-01
Banco Internacional,Cartera deteriorada,142403.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,deb97b959be740a5e78848ecd3be082fdff5b2a50554636da75f364c17d8c516,2019-09-01
Banco Ripley,Cartera deteriorada,108207.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,0e1b12326264f975b9721d3b34fc7726bc4558aaae16c3b147a3d1cad27c0c17,2019-09-01
Banco Santander-Chile,Cartera deteriorada,1852359.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,2f8c7ad2b81e9550a0c66435f294e6daca7309658b941d8f0e79f1390ed1f280,2019-09-01
Banco Security,Cartera deteriorada,258340.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,14cd76ca8af297c2d7fe449e0e4fddcf7e2e84435ee689a3cf26ac55d46973c3,2019-09-01
"Bank of China, Agencia en Chile",Cartera deteriorada,0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,645b020bbda9883b191f712994dc74ec3ed226f0153d94b8e103618fe2ba425c,2019-09-01
"China Construction Bank, Agencia en Chile",Cartera deteriorada,0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,be124a192e33222d63e2e2d4fbf4bc23d1ab063efc3f36e59e83ab14796b1f2c,2019-09-01
HSBC Bank (Chile),Cartera deteriorada,0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,ea3defac05d52ae777d2313282dddb6d4ca073a17c903552a48d27943c71acfd,2019-09-01
Ita� Corpbanca,Cartera deteriorada,1287343.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,1e09a9deed943c894ed783b233988e8cc075c1eab513cda8722f31a05904143f,2019-09-01
"JP Morgan Chase Bank, N.A.",Cartera deteriorada,0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,cc4520f876172e33cc8b02617651f28dd3a08851b5a374a7e8eedd4939a5085f,2019-09-01
Scotiabank Chile,Cartera deteriorada,1021808.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,73179abbd585e8205594d543450aa7ddd8c160b483ae0bc78943b5d86fab7635,2019-09-01
Banco Bice,Colocaciones (1),6091514.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,4e8714ef138bfdfc058c4db5f4a85451e3e2a5737bc15b974932de18c2debca0,2019-10-01
Banco BTG Pactual Chile,Colocaciones (1),828749.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,435511a5b82a06c7c002d488dcb0d111990396ecfe011743110257375679db40,2019-10-01
Banco Consorcio,Colocaciones (1),3222371.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a73a57c88f39dd4320b8e9441254dbd28b3cb951a763fc2281c0d48e305a23d7,2019-10-01
Banco de Chile,Colocaciones (1),30479328.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,cc09ee3711d49913e01233508491f3623f1f24d20a033f151b6c1555d50652fc,2019-10-01
Banco de Cr�dito e Inversiones,Colocaciones (1),33172635.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,1a4990709fa90cf822d1b84fa6d02169ce45df4baefcda0b60c18bee8b7ad0eb,2019-10-01
Banco del Estado de Chile,Colocaciones (1),25935440.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,9a63e902e17a6d0b97791dc53fb2243a76a918a51aa9807603f1eb3af14a590f,2019-10-01
Banco do Brasil S.A.,Colocaciones (1),51179.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,f1f7b7dfef8c633319d1a2aa2c71f12a90dca8dc8b9ef458b45d6478ddd73484,2019-10-01
Banco Falabella,Colocaciones (1),3807584.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,74a7dc8bb383ca8734a796c6c7b8f53b32d06bd5575ece61b4e722e87a4c8efe,2019-10-01
