tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Total,0.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,eea38842587d96b1829785fed1a634ad357bce5f47159a0b1dc7e1338461b03b,2019-09-01
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,79000.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,38b21a9954fcaea762041918a66b8cce88d4b040d8e85c7fd970acbc6272f6a1,2019-09-01
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Total,29975.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,1a78aa63dad68d036dc0ea3eb433920f005f74c23f93ffcffa00ad0e978ce8c0,2019-09-01
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,984651.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,da6a77ecb385d5b03d3be540901d0b1fb9a8aee5c389676d275617a164075273,2019-09-01
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Total,344890.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,a478e5005dd8b50e47691b022c5df779e41ec40ddd07962a144bb600511d4a33,2019-09-01
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,769252.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,ca011fdc4e72b971e2d4c72f852c6b91d1c14840734ca7a8b3ca795611ea16d4,2019-09-01
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Total,12764.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,04c2c60ead1e7e6209491c27cf8370a9831ca778db22ce7282c3cd95cb92b8fd,2019-09-01
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Total,0.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,be96d7dd9352ff41001ff71c126ca238eea0e8ea868a1b630b06e917bc2c9492,2019-09-01
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Total,0.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,3cbb8d295eafb41c667ba7c540b6c06b5c1feb5a2ec3c9906216a4562db36569,2019-09-01
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Total,0.00,2020-12-14 20:29:56.307,com_soluciones_poc_cmf_process_activosbanco2_mes,b720217b834039e5881c0a405cbdddd01a3e9c0928ee029501de21d53cdc0112,2019-09-01
