tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),100000,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,8fbe342fe38c67b74874ba6ecff6f04e00fe573fb3734bbc071214b415af43fb,9/1/2019
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,562ca6c6409511a027baeae5c434ae3d9c3f48fab132057fa0cc609e7f516f09,9/1/2019
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),752,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,d426aa26b622e053595dab1bf6a1923dc599511947fcff597d336f2f57dd5a64,9/1/2019
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),12772,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,62fd64d98cb07d2650898ae71e0b8381869482004d9d8f77a432595ab2123b9c,9/1/2019
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,af41dfbeda9db6eb21017ae390209ad769090e76973275a1ad4567c227834590,9/1/2019
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,45beb32765ffc24856d23150af51ee1edf66df9f81ba77ddf7d044c6411f1177,9/1/2019
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,c1f800b7324320c9a87c27a26cdfca7e7a8b58b3b2b988d5a435cc70523b51c4,9/1/2019
Banco Santander-Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,9092d7d4a1f5732301296675c4015c78698302d97d70e408ff9e42a7a5c3f943,9/1/2019
Banco Security,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),1137,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,ca6d9acd26a49b5457f9586360e152d1796f872107dd7cdf638baaa82a370fb0,9/1/2019
"Bank of China, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,26a39eb2fc5b72989d364e7d635b658bb1730cfd6ac49e54705b5fac0a999d19,9/1/2019
"China Construction Bank, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),5420,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,a04940b45f69ed1623148f21de26d91ac610aecf167d4b36212d2a93c7d8296c,9/1/2019
HSBC Bank (Chile),Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),17495,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,5a0745801adf86cb0fca52390cd32ed574c0f331893f693ecedb1e512454d23e,9/1/2019
Ita� Corpbanca,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,9a20683132e17eeee5abfe1c75e43eaa847c6b65e7a6693f6c4e938659dddc27,9/1/2019
"JP Morgan Chase Bank, N.A.",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,0870d4e97b74102f693b710ace033155ac5b55365cf5d0ff5d8b65a7b0320984,9/1/2019
Scotiabank Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,050bf4cf2ad2ae395f2ff4c4878b5d099c7a3add949d04bcdbb0fd63aa532d3d,9/1/2019
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,199728e9bac95a99c0835d685262d42a9a3f7404a7e4d4feac59aedd93c3a1eb,9/1/2019
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,53bfd335f322e0868378a065724db592117f42addbe2255ae9e394c2013d8a20,9/1/2019
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,30000,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,b41f380d345bc8aab8ec36006384143e5feeae16b1b879f2454fbf51030ced23,9/1/2019
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,100000,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,69e2ec364a8ec980bf201c90fc63ebded0d70ba1452047cc7bbbb0749912d1d0,9/1/2019
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,6eccc42b4142324caf0cfdaca9fcbbf41e9c6ca4e670cf379e3adf740b583a40,9/1/2019
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,752,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,724629543c8ea48682bb6751463a97128c78c63de065acdc1fe75d081bb7e758,9/1/2019
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,12772,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,e2f3b56e94a939469b17504d04d6b60e6b145cff46ced2d05cea63b159bbeca3,9/1/2019
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,31be5863150ea31e5ce8540f210434c4947d5b80430ebdffb0ff938579ce10e5,9/1/2019
