periodo_mes||institucion_nom||producto_nom||activo_mon||activo_mon_mes_ant
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||8489.00||0.00
201909||Banco Falabella||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||204420.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||4857.00||0.00
201909||Banco Internacional||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Banco Internacional||Colocaciones||1982368.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||5420.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||315248.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||1.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||3430806.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||0.00||0.00
201909||Banco Falabella||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||0.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||352557.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||0.00||0.00
201909||Banco Santander-Chile||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||0.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||10899784.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||0.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||0.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||0.00||0.00
201909||Banco de Chile||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||450000.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||29563538.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||96428.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||0.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||1758.00||0.00
201909||Banco Santander-Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||0.00||0.00
201909||Itaú Corpbanca||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||4646255.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||93861.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||893402.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||32398951.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Provisiones para créditos con bancos del exterior||0.00||0.00
201909||Banco Internacional||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||8535.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||293287.00||0.00
201909||Banco Bice||Colocaciones||6065313.00||0.00
201909||Banco do Brasil S.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1)||0.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||1223255.00||0.00
201909||Banco Ripley||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||0.00||0.00
201909||Banco Santander-Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||3167200.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||25.00||0.00
201909||Banco BTG Pactual Chile||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||79000.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||23807.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||0.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||0.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||70724.00||0.00
201909||Banco Santander-Chile||Colocaciones||31905207.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||176.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Otros||100269.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||5062334.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||58087.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||11909504.00||0.00
201909||Banco Bice||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||1072419.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||0.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||1415.00||0.00
201909||Banco Internacional||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||Banco Ripley||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco Falabella||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||479565.00||0.00
201909||Banco Falabella||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||3325.00||0.00
201909||HSBC Bank (Chile)||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Banco do Brasil S.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||0.00||0.00
201909||Banco BTG Pactual Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||538523.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||207239.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||5819748.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||39173.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||1784391.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||257868.00||0.00
201909||Banco Security||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Banco Security||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||1137.00||0.00
201909||Banco Bice||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||1225278.00||0.00
201909||Itaú Corpbanca||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||673499.00||0.00
