tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco de Cr�dito e Inversiones,Efectivo y dep�sitos en bancos,2416866.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,f158d74dff132b0911bf71da8be18f2d5922a3852f5c6c8904bbec2617eef64b,2019-09-01
Banco del Estado de Chile,Efectivo y dep�sitos en bancos,2406789.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d674138bcb8f06acf5ff264332197b03de8c060dff739e8244317ac739e37584,2019-09-01
Banco do Brasil S.A.,Efectivo y dep�sitos en bancos,1522.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d97dda58828fdeae3734ce77715e9abbd6a51bd4e901f88c8b09dfb4ec7b57c7,2019-09-01
Banco Falabella,Efectivo y dep�sitos en bancos,118294.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,957374660636ca563498dd05aad53586902841eebe680809dd37eb5dee69e70e,2019-09-01
Banco Internacional,Efectivo y dep�sitos en bancos,437828.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,e9f884aa69dcfcb58defd7f5a7ac247aef53db06075ceefde3f9d2a0134f6e7b,2019-09-01
Banco Ripley,Efectivo y dep�sitos en bancos,18581.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,27f22d2440c44ae933ca7f6c18e7f05d60369e8d97f76bf253f5e37d6a6f7ba4,2019-09-01
Banco Santander-Chile,Efectivo y dep�sitos en bancos,2108704.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,ebc4e61d18040c31278d1292ffad6ca9e20adbd12f812baa5cc345638e7bf260,2019-09-01
Banco Security,Efectivo y dep�sitos en bancos,437363.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,6f9f31d6502678308e0799a3787ab55e6ce5ad421eee8efa53ed00d84bb3ac38,2019-09-01
"Bank of China, Agencia en Chile",Efectivo y dep�sitos en bancos,7158.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,8df3f365aacc4dde509eaad8f717c9795bbb3801000286870d2dfc523e2b3cf8,2019-09-01
"China Construction Bank, Agencia en Chile",Efectivo y dep�sitos en bancos,50546.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d903f75990d1d5571d4a5cd4e0276c045bd5cb161329cb020f58f2cdffc8d0ca,2019-09-01
HSBC Bank (Chile),Efectivo y dep�sitos en bancos,137530.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,abdfd6d022034244a5a774d12380dbda7a23f00a35332f92e95d7894ba3a439c,2019-09-01
Ita� Corpbanca,Efectivo y dep�sitos en bancos,828517.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,7382a9cdae422d40791981062d325ae0d941fe566d9a07397b1f73f8fcf57491,2019-09-01
"JP Morgan Chase Bank, N.A.",Efectivo y dep�sitos en bancos,136138.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,c2819cf38b866d7b3be6efe3545c4fc9d1e31f223510dcd8e329ab1e495c7ebe,2019-09-01
Scotiabank Chile,Efectivo y dep�sitos en bancos,1143809.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,fa26abc846e505338a84ad79115c2f15c0b02c6c7f6f1bf3ba1d89bd44e2d4e9,2019-09-01
Banco Bice,Instrumentos financieros no derivados,1206090.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,c54c5fae78df99a544a2883e3e839eb7b5de5cc27bb647682284bfde198a40e7,2019-09-01
Banco BTG Pactual Chile,Instrumentos financieros no derivados,136466.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,1ae2bfb7759cdd4b9e3f91936bb2c417bddcd99584d6bf0554906a2ef03eda8c,2019-09-01
Banco Consorcio,Instrumentos financieros no derivados,1733181.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,5ae7c6a7537f6c26e523f92a57de5d167d664bf16661cf6893a7d09278e5ba77,2019-09-01
Banco de Chile,Instrumentos financieros no derivados,3115420.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,96a280eabb2b620039a909cedada8568c16bfef1913917a61d38300e8d5847a1,2019-09-01
Banco de Cr�dito e Inversiones,Instrumentos financieros no derivados,5617262.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,f2a65ee0f65a6a085a756d6d57cd3ee27abdb1bd936943b6a597187f7a85a162,2019-09-01
Banco del Estado de Chile,Instrumentos financieros no derivados,8998644.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,10ab711f442ff01f827562ec17f6794854ef808c5ecc35377ab064e8c5e83138,2019-09-01
Banco do Brasil S.A.,Instrumentos financieros no derivados,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,72760dda8bbabf694955950b57a07d758f438bbda09d3d4e065233346471971d,2019-09-01
Banco Falabella,Instrumentos financieros no derivados,655363.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,b54c07bb57bf6a59f3b5cab82568179d4209d4f4297c68e055331180040f7985,2019-09-01
Banco Internacional,Instrumentos financieros no derivados,142974.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,8e24cf6480ee82c55866c4fb350a9701bbc38205da72da1d32399e30e93a9cb3,2019-09-01
Banco Ripley,Instrumentos financieros no derivados,122662.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,132d25e51bc82b70429d71d4032b6e2c1f661ad1e4d96056fad81d7d85061667,2019-09-01
Banco Santander-Chile,Instrumentos financieros no derivados,3164108.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,bdd1c4f53b789b6005f7fd35c7e4523ccb8fe9421ed82b4e7ed2fd1178c6f550,2019-09-01
