tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco Bice,Colocaciones (1),6065313.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,71c90b55fccd8bc41b4c301d596222b0cb9d4353323555c8dda9d77594bc2d86,2019-09-01
Banco BTG Pactual Chile,Colocaciones (1),872978.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,74353829d983af3788d15a774492ad1285510ae30253e4f4ee107bebbd1f9b05,2019-09-01
Banco Consorcio,Colocaciones (1),3197200.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,12d625264409eeb14700edeb782263309ccc45a6c2f0a6981f0541f10b37a56f,2019-09-01
Banco de Chile,Colocaciones (1),30099012.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,c1ea0466c80d9741d09ba7f8eb4b89334376b7d258dc5c5d1c0a09903dad3cff,2019-09-01
Banco de Cr�dito e Inversiones,Colocaciones (1),32744315.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,c01ce6b12a4a5a0859b534bacede7249d87b0c4554c53cee759735830b9002c1,2019-09-01
Banco del Estado de Chile,Colocaciones (1),25839574.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,3a35c6127ed9c30c7643c499ce52779873e50ca5dfe42bb7067474056d80bf42,2019-09-01
Banco do Brasil S.A.,Colocaciones (1),46109.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,fba19b080c8effb4d86fdc969988c8575235d94d052e71be041a99687c4559a6,2019-09-01
Banco Falabella,Colocaciones (1),3774187.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,c94057b00f5e356b81c4ebecfab194a72755f9d9a8100fc1db45d4eaa2a77f10,2019-09-01
Banco Internacional,Colocaciones (1),1982368.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,ae1d0041b1373691694834edd530cec0a0e67634b3807967bb79378c01bc20e8,2019-09-01
Banco Ripley,Colocaciones (1),893402.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,365aca4692fd914304aaa8f8daf2ab0c5e335c9dd2bad178566fb46d2f0916e8,2019-09-01
Banco Santander-Chile,Colocaciones (1),31905207.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,f2b5627f17a7073083ff46c6cfdc1e3b32b57720faecdc6f30fb395cb1bfa9d7,2019-09-01
Banco Security,Colocaciones (1),5822872.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,d56b6ff17a5467a2c7682395438e053c04b86cf93bc0ec8fe6d18261a6814f9b,2019-09-01
"Bank of China, Agencia en Chile",Colocaciones (1),0.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,75ce41bdcc1474db6e71bc9d42de63d4ca914276febb5fefb6e4bec7094e1fde,2019-09-01
"China Construction Bank, Agencia en Chile",Colocaciones (1),172592.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,e7d00b051d5ce87a0a8b0d8b0335bb291e33ea7cdf876375abbb1d077823c7ef,2019-09-01
HSBC Bank (Chile),Colocaciones (1),247318.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,764c2cfb2b011f7b4f20c66b2505ce9dfdd26251ee7fc6cbd0feda7a73286561,2019-09-01
Ita� Corpbanca,Colocaciones (1),22594958.00,2020-12-14 19:13:27.486,com_soluciones_poc_cmf_process_activosbanco1_mes,b7a3f969bf374b7ca2ad4eb8430f85d69ee738c64f7f5a05480886d9f69d924e,2019-09-01
